资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06;2012-03
商誉价值;4.253e+07;3.5083e+07;3.5083e+07;3.5083e+07;1.5531e+07;1.5531e+07;1.5531e+07;1.5531e+07;1.5531e+07;1.5531e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;4.1626e+07;3.5139e+07;1.409e+07;1.634e+07;1.0203e+07;1.0954e+07;1.1958e+07;1.2154e+07;1.2322e+07;1.2802e+07;1.2078e+07;9.756e+06;6.181e+06;4.158e+06;3.895e+06;1.526e+06;872000;812000;819000;836000;678000;1.881e+06;419000;0;0;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;1.473257e+09;1.430656e+09;1.398795e+09;1.319298e+09;1.271077e+09;1.239518e+09;1.287199e+09;1.14945e+09;1.10065e+09;1.044657e+09;1.030711e+09;9.92781e+08;9.3372e+08;8.92127e+08;8.65662e+08;7.73895e+08;7.47269e+08;7.0936e+08;3.54927e+08;3.01697e+08;2.80622e+08;8.9441e+07;8.6992e+07;0;0;0
负债总额;5.25295e+08;5.20783e+08;6.45172e+08;5.66696e+08;5.01807e+08;4.69645e+08;4.95351e+08;3.82409e+08;3.53098e+08;3.09465e+08;2.96766e+08;2.60339e+08;2.26158e+08;1.98641e+08;1.93656e+08;1.51734e+08;1.37083e+08;1.09509e+08;1.10267e+08;8.693e+07;7.26e+07;5.99e+07;7.7049e+07;0;0;-8.4e+06
流动负债总额;4.55994e+08;4.45185e+08;5.62729e+08;4.88135e+08;4.2642e+08;3.97799e+08;4.28721e+08;3.41852e+08;3.17412e+08;2.82001e+08;2.72601e+08;2.38747e+08;2.05909e+08;1.81663e+08;1.80274e+08;1.40038e+08;1.18393e+08;1.03409e+08;1.04289e+08;7.9767e+07;6.63e+07;5.39e+07;5.193e+07;0;0;4.3e+06
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付账款;3.829e+06;2.817e+06;4.448e+06;9.713e+06;2.912e+06;2.501e+06;1.7637e+07;6.804e+06;1.2596e+07;4.281e+06;1.152e+06;5.71e+06;4.582e+06;5.701e+06;1.978e+06;5.426e+06;5.386e+06;4.056e+06;2.178e+06;4.253e+06;3.524e+06;1.572e+06;2.176e+06;0;0;0
应付税款;1.986e+06;4.467e+06;4.743e+06;2.002e+06;2.505e+06;2.767e+06;1.893e+06;1.496e+06;1.114e+06;1.106e+06;1e+06;505000;413000;373000;378000;234000;235000;109000;178000;348000;317000;165000;129000;0;0;0
应计债务;0;0;0;0;0;0;0;1.02816e+08;9.0151e+07;8.079e+07;8.4841e+07;7.857e+07;6.1479e+07;4.9244e+07;5.5933e+07;4.1072e+07;3.4348e+07;2.9334e+07;3.5643e+07;2.393e+07;1.8797e+07;1.5341e+07;1.7641e+07;0;0;0
存款额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
联邦基金费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
交易负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借贷;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
预提支出及负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
租赁资本;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他流动负债;1.29874e+08;1.23203e+08;1.34112e+08;1.37572e+08;1.02491e+08;1.04142e+08;1.23648e+08;0;0;0;0;0;0;0;0;0;0;0;0;268000;1.196e+06;0;0;0;0;0
长期负债总额;6.9301e+07;7.5598e+07;8.2443e+07;7.8561e+07;7.5387e+07;7.1846e+07;6.663e+07;4.0557e+07;3.5686e+07;2.7464e+07;2.4165e+07;2.1592e+07;2.0249e+07;1.6978e+07;1.3382e+07;1.1696e+07;1.869e+07;6.1e+06;5.978e+06;7.163e+06;6.374e+06;6.058e+06;2.5119e+07;0;0;0
长期负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延税金;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
少数股东权益;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延所得税负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.353e+06;1.353e+06;1.353e+06;1.353e+06;0;0;0
递延收入;1.5615e+07;2.1687e+07;2.8058e+07;2.7504e+07;3.0199e+07;2.9071e+07;2.693e+07;1.8685e+07;1.7528e+07;1.3498e+07;1.2903e+07;1.1978e+07;1.1381e+07;9.847e+06;7.825e+06;6.884e+06;5.053e+06;3.622e+06;3.264e+06;3.162e+06;2.914e+06;3.13e+06;2.423e+06;0;0;0
其他长期负债;5.3686e+07;5.3911e+07;5.4385e+07;5.1057e+07;4.5188e+07;4.2775e+07;3.97e+07;2.1872e+07;1.8158e+07;1.3966e+07;1.1262e+07;9.614e+06;8.868e+06;7.131e+06;5.557e+06;4.812e+06;1.3637e+07;2.478e+06;2.714e+06;2.648e+06;2.107e+06;1.575e+06;2.1343e+07;0;0;0
其他负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股东权益总计;9.47962e+08;9.09873e+08;7.53623e+08;7.52602e+08;7.6927e+08;7.69873e+08;7.91848e+08;7.67041e+08;7.47552e+08;7.35192e+08;7.33945e+08;7.32442e+08;7.07562e+08;6.93486e+08;6.72006e+08;6.22161e+08;6.10186e+08;5.99851e+08;2.4466e+08;2.14767e+08;2.08e+08;2.95e+07;9.943e+06;0;0;2.806e+08
资本公积;1.256854e+09;1.205459e+09;1.168563e+09;1.122903e+09;1.089444e+09;1.041141e+09;1.007205e+09;9.65183e+08;9.14554e+08;8.54991e+08;8.05804e+08;7.63742e+08;7.24905e+08;6.91587e+08;6.60668e+08;6.31521e+08;6.15032e+08;6.00211e+08;2.39406e+08;2.2073e+08;2.16382e+08;3.5322e+07;1.1698e+07;0;0;0
优先股;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股;8000;8000;8000;8000;8000;8000;8000;8000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;6000;6000;5000;4000;0;0;0
留存收益;-2.97089e+08;-2.85023e+08;-4.02957e+08;-3.6112e+08;-3.14567e+08;-2.72045e+08;-2.16958e+08;-1.9587e+08;-1.65609e+08;-1.18087e+08;-7.2509e+07;-3.1188e+07;-1.7815e+07;1.164e+06;1.1191e+07;-9.516e+06;-4.885e+06;-311000;5.318e+06;-5.927e+06;-8.368e+06;-5.793e+06;-1.758e+06;0;0;0
库存股份;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
累积其他综合收益;-1.1811e+07;-1.0571e+07;-1.1991e+07;-9.189e+06;-5.615e+06;769000;1.593e+06;-2.28e+06;-1.4e+06;-1.719e+06;643000;-119000;465000;728000;140000;149000;32000;-56000;-71000;-42000;-37000;-11000;-1000;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
现金流量表;;;;;;;;;;;;;;;;;;;;;;;;;;
经营活动带来的净现金流;6.641e+06;5.2615e+07;4.6674e+07;4.5662e+07;5.0036e+07;8.4495e+07;6.8913e+07;4.5653e+07;2.3015e+07;3.7466e+07;5.3553e+07;2.817e+07;2.0047e+07;3.5004e+07;3.2509e+07;2.4472e+07;1.8144e+07;1.4326e+07;1.8646e+07;9.427e+06;5.447e+06;4.205e+06;-1.076e+06;7.342e+06;0;0
净利润;-1.2066e+07;-4.6472e+07;-4.1838e+07;-4.6553e+07;-4.2522e+07;-5.4647e+07;-2.1088e+07;-3.0261e+07;-4.7522e+07;-4.5578e+07;-4.1321e+07;-1.3373e+07;-1.8979e+07;-1.0027e+07;2.0707e+07;-4.631e+06;-4.574e+06;-5.629e+06;1.1245e+07;2.441e+06;-2.575e+06;-4.035e+06;-1.056e+06;367000;0;0
信用损失计提;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
折旧与摊销;9.403e+06;9.647e+06;1.0572e+07;1.0337e+07;1.0402e+07;1.3435e+07;1.7915e+07;9.09e+06;8.394e+06;7.607e+06;7.446e+06;6.075e+06;5.347e+06;4.799e+06;4.039e+06;3.931e+06;3.022e+06;2.52e+06;2.27e+06;1.842e+06;1.396e+06;1.342e+06;1.19e+06;1.035e+06;0;0
递延所得税费用(收益);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资损失（收益）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资/资产减损支出;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务和发行成本摊销;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
业务处置利得（损失）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股权补偿;5.8312e+07;5.5763e+07;5.466e+07;5.4314e+07;5.2114e+07;4.9195e+07;4.7758e+07;4.7383e+07;4.5371e+07;4.52e+07;3.7191e+07;3.1573e+07;2.8457e+07;2.2247e+07;1.5494e+07;1.2513e+07;1.1048e+07;7.963e+06;4.924e+06;3.73e+06;3.304e+06;2.499e+06;1.543e+06;1.197e+06;0;0
应收账款;-4.1522e+07;7.3012e+07;-6.7537e+07;7.537e+06;-4.385e+06;7.6878e+07;-7.3047e+07;-2.974e+06;-2.6166e+07;2.399e+07;-1.7716e+07;-1.7114e+07;-1.3909e+07;1.4514e+07;-3.3617e+07;-1.2145e+07;-5.908e+06;1.0655e+07;-1.7009e+07;-1.0644e+07;-5.425e+06;2.59e+06;-1.0451e+07;-2.16e+06;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
预付费用;-2.2034e+07;-2.2891e+07;8.192e+06;-1.9657e+07;8.249e+06;1.127e+07;-8.632e+06;-9.936e+06;1.876e+06;-2.295e+06;-617000;-5.993e+06;-6.095e+06;-1.078e+06;-4.04e+06;-2.455e+06;-547000;92000;-1.946e+06;-1.013e+06;-1.252e+06;-547000;89000;-892000;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付所得税;-2.357e+06;-356000;2.502e+06;-497000;-319000;842000;480000;412000;45000;60000;507000;108000;15000;34000;158000;13000;125000;-72000;-154000;17000;159000;40000;-1.157e+06;-709000;0;0
应计债务;1.2942e+07;-4.279e+06;4.077e+06;2.5873e+07;199000;-1.662e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他营运资金;3.683e+06;-7.701e+06;7.8611e+07;1.4837e+07;2.5961e+07;4.014e+06;1.05978e+08;3.2171e+07;4.1181e+07;8.631e+06;3.7314e+07;3.1197e+07;2.5833e+07;7.41e+06;4.4476e+07;2.7485e+07;1.5043e+07;-1.255e+06;2.7714e+07;1.2923e+07;9.902e+06;2.277e+06;8.055e+06;8.483e+06;0;0
其他非现金项目;0;0;0;162000;0;0;-1.388e+06;-275000;-304000;-248000;-941000;-4.055e+06;-309000;-324000;-1.0277e+07;-595000;140000;-3.329e+06;-4.645e+06;-314000;-254000;-25000;410000;21000;0;0
其他资产与负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他经营活动;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资活动带来的净现金流;-8.613e+06;-3.0217e+07;-1.96673e+08;-2.31429e+08;-1.0622e+07;-2.3238e+07;-1.8398e+07;-1.8882e+07;-9.799e+06;-3.0052e+07;-1.2338e+07;-1.4675e+07;-1.1497e+07;-7.62e+06;-1.016e+07;-1.0416e+07;-1.077e+07;-3.708e+06;-6.092e+06;-5.171e+06;-3.306e+06;-3.038e+06;-1.575e+06;-2.225e+06;0;0
固定资产投资;-5.825e+06;-5.251e+06;-1.8644e+07;-9.319e+06;-1.0622e+07;-2.3238e+07;-1.8398e+07;-1.8882e+07;-9.799e+06;-1.3653e+07;-1.2338e+07;-1.3675e+07;-1.1497e+07;-7.62e+06;-1.016e+07;-1.211e+07;-1.077e+07;-3.708e+06;-6.092e+06;-5.171e+06;-3.306e+06;-3.038e+06;-1.575e+06;0;0;0
收购;0;0;0;-2.3966e+07;0;0;0;0;0;-1.6399e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
并购和处置;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
财产和设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
购买投资资产;-5.4141e+07;-1.0245e+08;-2.23575e+08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务/销售投资;6.23e+07;7.7484e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
购买无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他投资活动;-1.0947e+07;0;4.5546e+07;-1.98144e+08;0;0;0;0;0;0;0;-1e+06;0;0;0;1.694e+06;0;0;0;0;0;0;0;0;0;0
融资活动带来的净现金流;-6.917e+06;-2.7515e+07;-5.454e+06;-1.7313e+07;-2.669e+06;-1.5699e+07;-5.468e+06;3.438e+06;1.4352e+07;4.24e+06;4.948e+06;7.265e+06;4.861e+06;8.672e+06;1.374e+07;3.918e+06;3.439e+06;3.53192e+08;1.3752e+07;615000;1.78809e+08;45000;1.593e+06;0;0;0
融资活动带来的现金流;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券偿还;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债券发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债券偿还;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股发行;2.3089e+07;2.492e+06;1.4551e+07;2.659e+06;1.7337e+07;4.309e+06;1.3153e+07;3.163e+06;1.4048e+07;3.992e+06;4.007e+06;3.21e+06;4.552e+06;8.348e+06;3.437e+06;3.306e+06;3.622e+06;3.49863e+08;8.85e+06;100000;1.77494e+08;1.052e+06;322000;80000;0;0
普通股回购;-3.0006e+07;-3.0007e+07;-2.0005e+07;-1.9972e+07;-2.0006e+07;-2.0008e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
库存股回购;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借款变化;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股息支付;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他金融活动;0;0;0;0;0;0;-2.0009e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;1.05e+06;-1.05e+06;-271000;0;0;0
汇率变动的影响;-4.014e+06;1.233e+06;-7.614e+06;1.121e+06;1.51e+06;374000;-923000;-363000;-823000;448000;-454000;-75000;431000;-1.005e+06;8000;-772000;-7000;24000;31000;55000;-19000;-34000;0;0;0;0
净现金变化;-1.2903e+07;-3.884e+06;-1.63067e+08;-2.01959e+08;3.8255e+07;4.5932e+07;4.4124e+07;2.9846e+07;2.6745e+07;1.2102e+07;4.5709e+07;2.0685e+07;1.3842e+07;3.5051e+07;3.6097e+07;1.7202e+07;1.0806e+07;3.63834e+08;2.6337e+07;4.926e+06;1.80931e+08;1.178e+06;-1.058e+06;5.197e+06;0;0
