资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-03
长期资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
累积折旧;-4.7251e+10;-4.5425e+10;-4.3431e+10;-4.1293e+10;-3.9695e+10;-3.7961e+10;-3.6249e+10;-3.4235e+10;-3.2543e+10;-3.0848e+10;-2.9042e+10;-2.6786e+10;-2.4395e+10;-2.2309e+10;-2.0355e+10;-1.8391e+10;-1.6868e+10;-1.5286e+10;-1.38e+10;-1.1922e+10;-1.0562e+10;-9.168e+09;-7.792e+09;-6.435e+09;0
股票及其他投资;1.72773e+11;1.79286e+11;2.07944e+11;1.94714e+11;1.84757e+11;1.8974e+11;1.85638e+11;1.7043e+11;1.69764e+11;1.77645e+11;1.77665e+11;1.64065e+11;1.68145e+11;1.60443e+11;1.45492e+11;1.30162e+11;1.26685e+11;1.09239e+11;1.18131e+11;1.06215e+11;1.04014e+11;1.0555e+11;9.7292e+10;9.2122e+10;0
商誉价值;0;0;5.889e+09;5.717e+09;5.661e+09;5.473e+09;5.423e+09;5.414e+09;5.261e+09;5.249e+09;5.202e+09;5.116e+09;5.044e+09;4.711e+09;4.629e+09;4.616e+09;2.374e+09;2.055e+09;2.022e+09;1.577e+09;1.522e+09;1.4e+09;1.381e+09;1.135e+09;0
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;2.2546e+10;2.3086e+10;1.3323e+10;1.0162e+10;1.015e+10;7.549e+09;7.39e+09;8.757e+09;7.862e+09;7.745e+09;7.974e+09;5.556e+09;4.081e+09;3.937e+09;3.608e+09;3.764e+09;4.16e+09;5.106e+09;5.091e+09;5.146e+09;5.421e+09;5.294e+09;5.183e+09;5.478e+09;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;3.49197e+11;3.67502e+11;4.06794e+11;3.75319e+11;3.45173e+11;3.34532e+11;3.31141e+11;3.21686e+11;3.05602e+11;3.05277e+11;2.93284e+11;2.90479e+11;2.73151e+11;2.61194e+11;2.61894e+11;2.31839e+11;2.2252e+11;2.05989e+11;2.25184e+11;2.07e+11;1.99856e+11;1.94743e+11;1.96088e+11;0;0
负债总额;2.34248e+11;2.40624e+11;2.66595e+11;2.41272e+11;2.12748e+11;2.0045e+11;1.98751e+11;1.93437e+11;1.79061e+11;1.7482e+11;1.65017e+11;1.71124e+11;1.47474e+11;1.32188e+11;1.38566e+11;1.20292e+11;1.0158e+11;8.581e+10;9.55e+10;7.6502e+10;5.9253e+10;5.9253e+10;5.7854e+10;5.115e+10;6.8742e+10
