资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
累积折旧;-1.6567e+10;-1.6483e+10;-1.6602e+10;-1.6661e+10;-1.6375e+10;-1.6171e+10;-1.5749e+10;-1.6022e+10;-1.6005e+10;-1.6052e+10;-1.5923e+10;-1.6043e+10;-1.6306e+10;-1.6794e+10;-1.8004e+10;-1.8761e+10;-1.8866e+10;-1.8622e+10;-1.8121e+10;-1.7805e+10;-1.7594e+10;-1.7622e+10;-1.7385e+10;-1.7475e+10;0
股票及其他投资;1.0033e+10;1.1033e+10;1.2125e+10;1.2206e+10;1.2138e+10;1.1896e+10;1.1416e+10;1.1657e+10;1.1879e+10;1.2554e+10;1.3039e+10;1.308e+10;1.3333e+10;1.3092e+10;1.3515e+10;1.3492e+10;1.2618e+10;1.1456e+10;9.77e+09;9.198e+09;8.555e+09;7.948e+09;7.305e+09;5.56e+09;0
商誉价值;1.8274e+10;1.8304e+10;1.8284e+10;1.834e+10;1.8358e+10;1.8358e+10;1.8162e+10;1.826e+10;1.7809e+10;1.7784e+10;1.7723e+10;1.7761e+10;1.7707e+10;1.774e+10;1.2992e+10;1.3171e+10;1.1789e+10;1.212e+10;1.2301e+10;1.2121e+10;1.2198e+10;1.2207e+10;1.2134e+10;1.2168e+10;0
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;7.145e+09;6.558e+09;6.075e+09;5.884e+09;5.928e+09;5.872e+09;5.854e+09;6.443e+09;6.559e+09;5.921e+09;6.144e+09;5.618e+09;5.843e+09;5.596e+09;5.133e+09;6.589e+09;7.143e+09;8.831e+09;9.115e+09;7.01e+09;7.112e+09;6.891e+09;6.723e+09;6.135e+09;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;8.504e+10;8.6041e+10;8.7872e+10;9.1676e+10;9.2804e+10;9.6561e+10;9.5157e+10;9.8335e+10;9.6475e+10;9.8755e+10;1.01779e+11;1.01232e+11;1.02582e+11;1.08345e+11;9.8335e+10;1.01808e+11;9.786e+10;1.0846e+11;1.05645e+11;1.06419e+11;1.06876e+11;1.062e+11;1.06132e+11;0;0
负债总额;5.2511e+10;5.2373e+10;5.3536e+10;5.3428e+10;5.3341e+10;5.6724e+10;5.5069e+10;5.4591e+10;5.3118e+10;5.4949e+10;5.7103e+10;5.5645e+10;5.6134e+10;6.058e+10;4.9688e+10;5.6584e+10;4.9502e+10;5.8485e+10;5.588e+10;5.9e+10;5.9376e+10;5.3171e+10;5.3112e+10;5.0554e+10;5.0331e+10
流动负债总额;1.8128e+10;1.696e+10;1.8614e+10;1.9467e+10;1.8758e+10;1.9823e+10;1.7204e+10;1.5555e+10;1.4918e+10;1.7568e+10;1.9203e+10;1.7583e+10;1.7508e+10;2.0442e+10;1.8766e+10;2.5927e+10;1.7928e+10;2.247e+10;1.7868e+10;1.8215e+10;1.8402e+10;1.8802e+10;1.8348e+10;1.5583e+10;1.6912e+10
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付账款;3.024e+09;3.162e+09;3.102e+09;2.62e+09;2.934e+09;2.484e+09;2.807e+09;2.481e+09;2.514e+09;2.241e+09;2.533e+09;2.023e+09;2.335e+09;2.091e+09;2.625e+09;2.279e+09;2.326e+09;2.434e+09;2.274e+09;2.469e+09;2.253e+09;2.084e+09;1.753e+09;1.804e+09;0
应付税款;6.61e+08;7.17e+08;7.08e+08;3.96e+08;1.979e+09;2.33e+09;2.239e+09;1.208e+09;1.213e+09;1.864e+09;1.56e+09;2.119e+09;1.878e+09;2.45e+09;1.606e+09;2.467e+09;1.92e+08;5.95e+08;2.51e+08;1.298e+09;4.09e+08;1.075e+09;1.2e+09;1.512e+09;0
应计债务;9.755e+09;9.709e+09;1.0427e+10;9.992e+09;9.363e+09;8.658e+09;1.0274e+10;9.087e+09;9.255e+09;1.0043e+10;1.1216e+10;9.61e+09;9.517e+09;9.867e+09;1.0523e+10;9.808e+09;8.829e+09;8.707e+09;9.501e+09;9.183e+09;8.872e+09;9.569e+09;9.737e+09;8.923e+09;0
