资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
累积折旧;-1.6844e+10;-1.6665e+10;-1.6172e+10;-1.5906e+10;-1.5506e+10;-1.505e+10;-1.4807e+10;-1.4838e+10;-1.4637e+10;-1.4002e+10;-1.3502e+10;0;0;0;-1.3226e+10;0;0;0;-1.3281e+10;0;0;0;-1.3421e+10;0;0
股票及其他投资;6.595e+09;6.945e+09;7.015e+09;7.311e+09;7.008e+09;7.346e+09;7.116e+09;9.507e+09;1.3124e+10;1.4146e+10;1.5999e+10;1.6233e+10;1.765e+10;1.8289e+10;1.7518e+10;1.8451e+10;1.7168e+10;1.5822e+10;1.6406e+10;1.5731e+10;1.6107e+10;1.5392e+10;1.4149e+10;1.3429e+10;0
商誉价值;5.5836e+10;5.6393e+10;5.5952e+10;5.6078e+10;5.5014e+10;5.4656e+10;5.4449e+10;5.6281e+10;5.06e+10;4.8558e+10;4.8242e+10;4.7217e+10;4.1571e+10;4.1854e+10;4.2069e+10;4.2724e+10;4.2661e+10;4.2467e+10;4.2519e+10;4.24e+10;4.2431e+10;4.3752e+10;4.4672e+10;4.437e+10;0
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;2.896e+09;2.896e+09;3.227e+09;3.388e+09;3.466e+09;3.329e+09;3.323e+09;4.76e+09;4.619e+09;4.003e+09;3.497e+09;3.912e+09;3.636e+09;3.716e+09;3.513e+09;3.421e+09;3.574e+09;3.759e+09;3.596e+09;4.982e+09;5.143e+09;5.432e+09;5.088e+09;5.862e+09;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;1.6498e+11;1.64613e+11;1.71797e+11;1.72151e+11;1.68558e+11;1.68784e+11;1.71319e+11;1.7843e+11;1.70658e+11;1.62929e+11;1.6746e+11;1.70867e+11;1.60878e+11;1.6064e+11;1.69274e+11;1.71362e+11;1.72612e+11;1.71808e+11;1.72101e+11;1.75521e+11;1.79335e+11;1.87398e+11;1.85798e+11;0;0
负债总额;9.5202e+10;9.4429e+10;1.00489e+11;1.11381e+11;1.1019e+11;1.10349e+11;1.11775e+11;1.15124e+11;1.07889e+11;9.9861e+10;1.0274e+11;1.04029e+11;9.3984e+10;9.3336e+10;9.7973e+10;9.3374e+10;9.5979e+10;9.4039e+10;9.5794e+10;9.7552e+10;1.00788e+11;1.05148e+11;1.04538e+11;1.009e+11;1.03295e+11
流动负债总额;3.2156e+10;2.7365e+10;3.0427e+10;2.8217e+10;2.7182e+10;2.4864e+10;3.1115e+10;3.4759e+10;3.2099e+10;2.8735e+10;2.9399e+10;2.7845e+10;2.4143e+10;2.0222e+10;2.1631e+10;1.992e+10;2.1938e+10;2.479e+10;2.3366e+10;2.0373e+10;2.345e+10;2.7543e+10;2.8619e+10;2.9131e+10;3.0798e+10
