资产负债表;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12
累积折旧;-2.0204e+10;-1.8956e+10;-1.7264e+10;-1.6238e+10;-1.5665e+10;-1.4385e+10;-1.3293e+10;-1.3341e+10;-1.2491e+10;-1.1833e+10;-1.113e+10;-1.057e+10;-1.0104e+10;-9.395e+09;-8.863e+09;-8.311e+09;-8.088e+09;-7.842e+09;-7.313e+09;-6.855e+09;-6.343e+09;-5.96e+09;-5.843e+09
股票及其他投资;1.1487e+10;1.0976e+10;7.813e+09;7.269e+09;6.642e+09;6.131e+09;5.878e+09;5.705e+09;5.82e+09;5.577e+09;5.183e+09;4.813e+09;4.409e+09;4.09e+09;3.079e+09;2.47e+09;2.415e+09;2.123e+09;1.976e+09;1.843e+09;1.564e+09;1.47e+09;1.469e+09
商誉价值;1.7895e+10;1.7862e+10;1.6747e+10;1.6731e+10;1.6604e+10;1.6547e+10;1.6468e+10;1.6028e+10;1.5841e+10;1.5866e+10;1.5869e+10;1.5675e+10;1.561e+10;1.5573e+10;1.5599e+10;1.5461e+10;1.4586e+10;1.4177e+10;1.1492e+10;1.1426e+10;1.1396e+10;1.0595e+10;1.0537e+10
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;3.052e+09;2.004e+09;2.672e+09;2.683e+09;2.004e+09;1.846e+09;1.819e+09;3.276e+09;3.275e+09;3.297e+09;3.181e+09;3.329e+09;3.403e+09;3.596e+09;3.28e+09;2.01e+09;1.982e+09;1.718e+09;1.976e+09;1.784e+09;1.891e+09;2.195e+09;2.011e+09
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;2.1161e+11;2.06935e+11;1.97295e+11;1.89536e+11;1.78621e+11;1.72756e+11;1.55792e+11;1.59948e+11;1.54292e+11;1.49747e+11;1.47461e+11;1.44281e+11;1.38807e+11;1.334e+11;1.31133e+11;1.25781e+11;1.21608e+11;1.16526e+11;1.1092e+11;1.05068e+11;1.01182e+11;9.6692e+10;0
负债总额;4.961e+10;4.611e+10;4.4793e+10;3.2436e+10;3.0335e+10;2.7807e+10;1.6756e+10;2.5845e+10;2.6413e+10;2.6178e+10;2.713e+10;2.804e+10;2.7024e+10;2.4952e+10;2.6633e+10;2.6966e+10;2.5859e+10;2.4815e+10;2.3611e+10;2.2079e+10;2.233e+10;2.1219e+10;2.2083e+10
流动负债总额;2.9903e+10;2.5394e+10;2.4183e+10;2.0693e+10;1.8685e+10;1.5256e+10;1.6756e+10;1.4323e+10;1.7341e+10;1.7684e+10;1.931e+10;1.8457e+10;1.7362e+10;1.4336e+10;1.6805e+10;1.792e+10;1.7097e+10;1.627e+10;1.5908e+10;1.4475e+10;1.5329e+10;1.3252e+10;1.4337e+10
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
