资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
累积折旧;-8.284e+09;-8.37e+09;-8.246e+09;-8.424e+09;-1.0441e+10;-1.0298e+10;-1.0621e+10;-1.0122e+10;-1.0469e+10;-1.037e+10;-9.783e+09;-1.002e+10;-1.0921e+10;-1.0638e+10;-1.0625e+10;-1.08e+10;-1.061e+10;-1.0395e+10;-1.0065e+10;-9.853e+09;-9.602e+09;-9.395e+09;-9.01e+09;-9.128e+09;0
股票及其他投资;2.1619e+10;2.2517e+10;2.1952e+10;2.2761e+10;2.2003e+10;1.7983e+10;1.7249e+10;1.8027e+10;1.7499e+10;1.3796e+10;1.5788e+10;1.4934e+10;1.5773e+10;1.3895e+10;1.3625e+10;1.4319e+10;1.4458e+10;1.3127e+10;1.1512e+10;1.1535e+10;1.0829e+10;1.1077e+10;1.0448e+10;1.015e+10;0
商誉价值;9.863e+09;9.908e+09;9.401e+09;9.473e+09;9.449e+09;1.0008e+10;1.0629e+10;1.0865e+10;1.1204e+10;1.1396e+10;1.1289e+10;1.1357e+10;1.1706e+10;1.1993e+10;1.21e+10;1.2188e+10;1.2296e+10;1.2343e+10;1.2312e+10;1.2412e+10;1.2657e+10;1.2291e+10;1.2255e+10;1.2381e+10;0
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;4.401e+09;4.428e+09;4.56e+09;4.48e+09;4.318e+09;4.454e+09;4.248e+09;4.526e+09;4.37e+09;4.314e+09;4.207e+09;4.446e+09;4.517e+09;4.602e+09;4.407e+09;4.85e+09;4.805e+09;4.655e+09;4.661e+09;4.27e+09;3.855e+09;3.922e+09;3.585e+09;3.629e+09;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;8.9593e+10;9.3282e+10;8.7896e+10;9.0515e+10;9.1146e+10;9.1201e+10;8.7112e+10;9.3927e+10;9.4094e+10;9.1263e+10;9.0093e+10;9.3008e+10;9.3538e+10;9.1016e+10;9.2023e+10;9.6314e+10;9.5489e+10;9.1289e+10;9.0055e+10;8.9432e+10;8.9511e+10;8.845e+10;8.6174e+10;0;0
负债总额;7.127e+10;7.3672e+10;7.0824e+10;6.8396e+10;6.9145e+10;6.8325e+10;6.405e+10;6.7851e+10;6.7457e+10;6.6349e+10;6.4539e+10;6.6959e+10;6.512e+10;6.2179e+10;6.1703e+10;6.2885e+10;6.1418e+10;5.8635e+10;5.6882e+10;5.73e+10;5.7288e+10;5.597e+10;5.3384e+10;5.3444e+10;5.288e+10
流动负债总额;3.1398e+10;3.148e+10;2.7194e+10;2.7633e+10;2.883e+10;2.8656e+10;2.6532e+10;2.7792e+10;2.9544e+10;3.0987e+10;2.693e+10;3.1545e+10;2.8852e+10;2.6123e+10;3.2374e+10;3.276e+10;3.2629e+10;3.0056e+10;2.7811e+10;3.3042e+10;3.2469e+10;3.1102e+10;2.7821e+10;2.7008e+10;2.6482e+10
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付账款;1.0842e+10;1.0218e+10;2.288e+09;1.0212e+10;1.0363e+10;1.0251e+10;2.682e+09;0;0;0;2.795e+09;0;0;0;2.089e+09;0;0;0;1.933e+09;0;0;0;1.969e+09;0;0
应付税款;3.62e+08;5.79e+08;7.57e+08;3.55e+08;3.51e+08;2.68e+08;6.79e+08;3.96e+08;3.75e+08;2.75e+08;3.31e+08;3.83e+08;4.37e+08;6.89e+08;4e+08;5.28e+08;4.54e+08;2.96e+08;3.09e+08;4.18e+08;4.47e+08;3.82e+08;4.71e+08;6.56e+08;0
应计债务;0;0;5.259e+09;0;0;0;4.887e+09;0;0;0;6.865e+09;0;0;0;7.145e+09;0;0;0;7.644e+09;0;0;0;6.711e+09;0;0
存款额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
