zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动负债其他项目(元),646933000000.00,610792000000.00,585348000000.00,584688000000.00,589113000000.00,591874000000.00,570567000000.00,483244000000.00,523156000000.00,574193000000.00,555566000000.00,543601000000.00,532135000000.00
流动负债合计(元),5767736000000.00,5620541000000.00,6021850000000.00,5935541000000.00,5538081000000.00,5221739000000.00,5359902000000.00,4913139000000.00,4582475000000.00,4830750000000.00,5097133000000.00,5118170000000.00,4837122000000.00
非流动负债：,,,,,,,,,,,,,
长期债务(元),571094000000.00,623451000000.00,594195000000.00,587838000000.00,601540000000.00,681462000000.00,703385000000.00,654908000000.00,533718000000.00,556605000000.00,734265000000.00,766675000000.00,670777000000.00
递延所得税负债非流动(元),437120000000.00,449863000000.00,428147000000.00,424957000000.00,430614000000.00,432824000000.00,435306000000.00,435996000000.00,448895000000.00,450926000000.00,437146000000.00,425809000000.00,426651000000.00
非流动负债其他项目(元),3185195000000.00,3099040000000.00,3138943000000.00,3035967000000.00,3001691000000.00,2945844000000.00,2900008000000.00,2726330000000.00,2687145000000.00,2731622000000.00,2726214000000.00,2633399000000.00,2632175000000.00
非流动负债合计(元),9923597000000.00,9788630000000.00,9669270000000.00,9468083000000.00,9354659000000.00,9291337000000.00,9248018000000.00,8952310000000.00,8724531000000.00,8710752000000.00,8580407000000.00,8439531000000.00,8247328000000.00
总负债(元),15691333000000.00,15409171000000.00,15691120000000.00,15403624000000.00,14892740000000.00,14513076000000.00,14607920000000.00,13865449000000.00,13307006000000.00,13541502000000.00,13677540000000.00,13557701000000.00,13084450000000.00
股东权益：,,,,,,,,,,,,,
普通股(元),870208000000.00,865678000000.00,864078000000.00,862156000000.00,861362000000.00,856310000000.00,860024000000.00,859784000000.00,859002000000.00,858867000000.00,858768000000.00,858522000000.00,707603000000.00
库存股(元),-4570000000.00,-4530000000.00,-4481000000.00,-4415000000.00,-4371000000.00,-,-4300000000.00,-4267000000.00,-4280000000.00,-4259000000.00,-4244000000.00,-4205000000.00,-4253000000.00
股本溢价(元),1297954000000.00,1282577000000.00,1279422000000.00,1277486000000.00,1276718000000.00,1275337000000.00,1272577000000.00,1267878000000.00,1326415000000.00,1325719000000.00,1324964000000.00,1323906000000.00,1186694000000.00
留存收益(元),1674810000000.00,1440387000000.00,1476194000000.00,1180298000000.00,1065238000000.00,984368000000.00,969346000000.00,949715000000.00,957497000000.00,936331000000.00,1037280000000.00,917146000000.00,896200000000.00
