zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

留存收益(元),150803000000.00,148728000000.00,145263000000.00,141761000000.00,139524000000.00,136032000000.00,133075000000.00,130288000000.00,127076000000.00,123891000000.00,120866000000.00,117593000000.00,114093000000.00,110676000000.00
其他储备(元),59644000000.00,60399000000.00,60893000000.00,60759000000.00,60689000000.00,60585000000.00,60234000000.00,60685000000.00,60691000000.00,60602000000.00,60714000000.00,60998000000.00,60154000000.00,59980000000.00
归属于母公司股东权益其他项目(元),-2051000000.00,-2571000000.00,-1678000000.00,-1904000000.00,-2119000000.00,-2546000000.00,-1565000000.00,-1612000000.00,-1868000000.00,-2271000000.00,-1362000000.00,-1590000000.00,-1835000000.00,-2215000000.00
归属于母公司股东权益(元),205188000000.00,205752000000.00,206936000000.00,205929000000.00,205230000000.00,201500000000.00,199581000000.00,203028000000.00,201745000000.00,197496000000.00,192998000000.00,193051000000.00,189558000000.00,188796000000.00
少数股东权益(元),881000000.00,958000000.00,1143000000.00,895000000.00,915000000.00,989000000.00,916000000.00,930000000.00,916000000.00,1008000000.00,893000000.00,992000000.00,1118000000.00,1168000000.00
股东权益合计(元),206069000000.00,206710000000.00,208079000000.00,206824000000.00,206145000000.00,202489000000.00,200497000000.00,203958000000.00,202661000000.00,198504000000.00,193891000000.00,194043000000.00,190676000000.00,189964000000.00
负债及股东权益合计(元),1879700000000.00,1915388000000.00,1951757000000.00,1934939000000.00,1930871000000.00,1951564000000.00,1930115000000.00,1942124000000.00,1889235000000.00,1849182000000.00,1787632000000.00,1751265000000.00,1720617000000.00,1737737000000.00
公告日期,2018-07-13,2018-04-13,2018-01-12,2017-10-13,2017-07-14,2017-05-05,2017-03-01,2016-11-03,2016-08-03,2016-05-04,2016-02-24,2015-11-04,2015-08-05,2015-05-06
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),10636000000.00,5327000000.00,22460000000.00,16050000000.00,11396000000.00,5548000000.00,22045000000.00,16741000000.00,11087000000.00,5514000000.00,23276000000.00,17653000000.00,11670000000.00,5884000000.00
折旧及摊销(元),2835000000.00,1431000000.00,5406000000.00,3794000000.00,2478000000.00,1237000000.00,4970000000.00,3598000000.00,2233000000.00,1295000000.00,3288000000.00,2396000000.00,1558000000.00,727000000.00
基于股票的补偿费(元),1286000000.00,792000000.00,2046000000.00,1595000000.00,1186000000.00,740000000.00,1662000000.00,1265000000.00,998000000.00,562000000.00,1505000000.00,1094000000.00,769000000.00,354000000.00
减值及拨备(元),643000000.00,191000000.00,2528000000.00,1877000000.00,1160000000.00,605000000.00,3770000000.00,2965000000.00,2160000000.00,1086000000.00,2442000000.00,1611000000.00,908000000.00,608000000.00
资产处置损益(元),-20050000000.00,31236000000.00,135054000000.00,97116000000.00,-,25270000000.00,127488000000.00,91873000000.00,59821000000.00,29600000000.00,133173000000.00,101062000000.00,67614000000.00,31249000000.00
重估盈余(元),-787000000.00,-788000000.00,886000000.00,828000000.00,567000000.00,8000000.00,139000000.00,1695000000.00,1664000000.00,883000000.00,62000000.00,585000000.00,-90000000.00,725000000.00
经营业务调整其他项目(元),-6285000000.00,-40769000000.00,-182294000000.00,-133704000000.00,-32287000000.00,-38636000000.00,-211400000000.00,-144092000000.00,-84711000000.00,-35254000000.00,-184762000000.00,-142380000000.00,-97258000000.00,-43929000000.00
待摊费用及其他资产(元),7547000000.00,3331000000.00,-1174000000.00,2115000000.00,1485000000.00,3553000000.00,-14232000000.00,-16091000000.00,-15589000000.00,-14228000000.00,-1764000000.00,-562000000.00,2284000000.00,-2053000000.00
应付税项(元),1118000000.00,-,-,1748000000.00,1281000000.00,1007000000.00,1793000000.00,-1617000000.00,-2286000000.00,-1240000000.00,-2265000000.00,-2421000000.00,-364000000.00,-435000000.00
应计费用及其他负债(元),520000000.00,3756000000.00,4837000000.00,-1402000000.00,-2785000000.00,-862000000.00,1384000000.00,902000000.00,2095000000.00,2936000000.00,-6964000000.00,1027000000.00,-5796000000.00,3832000000.00
应收利息减少(增加)(元),-,-,-,-,-,-,-,-86000000.00,89000000.00,4000000.00,-463000000.00,-564000000.00,-196000000.00,-224000000.00
经营业务其他项目(元),16918000000.00,10723000000.00,28973000000.00,28463000000.00,24477000000.00,14721000000.00,62550000000.00,38334000000.00,20367000000.00,14134000000.00,47244000000.00,40300000000.00,19765000000.00,5777000000.00
经营活动产生的现金流量净额(元),14381000000.00,15230000000.00,18722000000.00,18480000000.00,8958000000.00,13191000000.00,169000000.00,-4513000000.00,-2072000000.00,5292000000.00,14772000000.00,19801000000.00,864000000.00,2515000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-,-,-,-,-,-,-,-,-,189000000.00,-27776000000.00,-,26044000000.00,-
处置固定资产收到的现金(元),-,-,-,4175000000.00,2974000000.00,1519000000.00,7311000000.00,5560000000.00,3704000000.00,1859000000.00,-37758000000.00,5769000000.00,3962000000.00,1874000000.00
购买无形资产及其他资产支付的现金(元),-,-15681000000.00,-105529000000.00,34019000000.00,20896000000.00,-33999000000.00,-144898000000.00,-121575000000.00,-17204000000.00,14584000000.00,-,23141000000.00,14858000000.00,6032000000.00
处置无形资产及其他资产收到的现金(元),19321000000.00,17025000000.00,104061000000.00,8473000000.00,8885000000.00,2504000000.00,82621000000.00,36403000000.00,-2545000000.00,2134000000.00,11672000000.00,8898000000.00,5248000000.00,2596000000.00
贷款偿还(元),-,-,-10516000000.00,-9836000000.00,-7366000000.00,-4198000000.00,-18754000000.00,-13098000000.00,-30558000000.00,-3602000000.00,-85059000000.00,-62668000000.00,-39615000000.00,-5916000000.00
投资支付现金(元),-,-,-,35369000000.00,-3000000.00,10970000000.00,-30584000000.00,-29797000000.00,-28987000000.00,-22253000000.00,33909000000.00,23681000000.00,15847000000.00,7004000000.00
收购附属公司(元),-,-,-320000000.00,-,-,-,-,-,-,-,-,-,-,-
投资业务其他项目(元),-8610000000.00,8817000000.00,7140000000.00,-62886000000.00,-12786000000.00,-6069000000.00,-17815000000.00,13319000000.00,6086000000.00,-43277000000.00,-2223000000.00,-71254000000.00,-54470000000.00,-54514000000.00
投资活动产生的现金流量净额(元),10711000000.00,10161000000.00,-5164000000.00,9314000000.00,12600000000.00,-29273000000.00,-122119000000.00,-109188000000.00,-69504000000.00,-50366000000.00,-107235000000.00,-72433000000.00,-28126000000.00,-42924000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
新增借款(元),1240000000.00,-5165000000.00,14020000000.00,4655000000.00,6114000000.00,-1064000000.00,-1198000000.00,26882000000.00,22730000000.00,10175000000.00,34010000000.00,24551000000.00,19445000000.00,14174000000.00
偿还借款(元),-,-,-80802000000.00,-,-,-,-,-,47971000000.00,-,-,-,-,-
发行股份(元),21754000000.00,382000000.00,1888000000.00,39940000000.00,1399000000.00,13547000000.00,3516000000.00,3125000000.00,-,25388000000.00,1726000000.00,28921000000.00,16844000000.00,7897000000.00
回购股份(元),-,-3029000000.00,-9908000000.00,-,-,-,-8116000000.00,-6082000000.00,-,-,-,-,-,-
发行债券(元),-,15517000000.00,43575000000.00,-,27990000000.00,-,90111000000.00,67677000000.00,-,-,-,-,-,-
赎回债券(元),-,-11625000000.00,-,-,-,-,-34462000000.00,-23505000000.00,-,-,-27333000000.00,-,-,-
股息支付(元),-4594000000.00,-2285000000.00,-9109000000.00,-6831000000.00,-4522000000.00,-2267000000.00,-1566000000.00,-6782000000.00,-3739000000.00,-2244000000.00,-7400000000.00,-6592000000.00,-4346000000.00,-2126000000.00
垫款增加(减少)(元),-,-,-,-,-,-,-,-,795000000.00,-,-,-,-,-
超额税收优惠(元),-,-,-,-,-,-,283000000.00,209000000.00,178000000.00,154000000.00,453000000.00,431000000.00,409000000.00,354000000.00
现金及权益增加(减少)(元),-232000000.00,-113000000.00,30000000.00,-72000000.00,-66000000.00,-30000000.00,-188000000.00,-159000000.00,1202000000.00,-32000000.00,-232000000.00,-191000000.00,-84000000.00,-47000000.00
其他筹资活动产生的现金流量净额(元),-89000000.00,-42000000.00,-133000000.00,-94000000.00,-60000000.00,-29000000.00,-107000000.00,-70000000.00,-45000000.00,-,33000000.00,-,-,20000000.00
筹资业务其他项目(元),-95669000000.00,-32583000000.00,29519000000.00,-66915000000.00,-52894000000.00,4894000000.00,75295000000.00,52582000000.00,3780000000.00,11606000000.00,90746000000.00,3336000000.00,-4890000000.00,20359000000.00
融资活动产生的现金流量净额(元),-77590000000.00,-38943000000.00,-10920000000.00,-29317000000.00,-22039000000.00,15051000000.00,123568000000.00,113877000000.00,72872000000.00,45047000000.00,92003000000.00,50456000000.00,27378000000.00,40631000000.00
现金及现金等价物期初余额(元),215947000000.00,215947000000.00,20729000000.00,20729000000.00,20729000000.00,20729000000.00,19111000000.00,19111000000.00,19111000000.00,19111000000.00,19571000000.00,19571000000.00,19571000000.00,19571000000.00
现金及现金等价物增加(减少)额(元),-52498000000.00,-13552000000.00,2638000000.00,-1523000000.00,-481000000.00,-1031000000.00,1618000000.00,176000000.00,1296000000.00,-27000000.00,-460000000.00,-2176000000.00,116000000.00,222000000.00
现金及现金等价物期末余额(元),163449000000.00,202395000000.00,23367000000.00,19206000000.00,20248000000.00,19698000000.00,20729000000.00,19287000000.00,20407000000.00,19084000000.00,19111000000.00,17395000000.00,19687000000.00,19793000000.00
利息支付(元),6352000000.00,3002000000.00,9103000000.00,6514000000.00,3954000000.00,1612000000.00,5573000000.00,3920000000.00,2357000000.00,1054000000.00,3816000000.00,2842000000.00,1747000000.00,901000000.00
所得税支付(元),1679000000.00,158000000.00,6592000000.00,4687000000.00,2794000000.00,215000000.00,8446000000.00,7158000000.00,4255000000.00,138000000.00,13688000000.00,9270000000.00,7105000000.00,352000000.00
公告日期,2018-08-03,2018-05-04,2018-03-01,2017-11-03,2017-08-04,2017-05-05,2017-03-01,2016-11-03,2016-08-03,2016-05-04,2016-02-24,2015-11-04,2015-08-05,2015-05-06
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),43487000000.00,21934000000.00,88389000000.00,66097000000.00,44171000000.00,22002000000.00,88267000000.00,66685000000.00,44357000000.00,22195000000.00,86057000000.00,64471000000.00,42596000000.00,21278000000.00
净利息收入(元),24779000000.00,12238000000.00,49557000000.00,37259000000.00,24783000000.00,12300000000.00,47754000000.00,35352000000.00,23400000000.00,11667000000.00,45301000000.00,33713000000.00,22256000000.00,10986000000.00
利息收入合计(元),31362000000.00,15347000000.00,58909000000.00,43999000000.00,28941000000.00,14226000000.00,53663000000.00,39605000000.00,26118000000.00,12972000000.00,49277000000.00,36634000000.00,24189000000.00,11963000000.00
利息支出合计(元),6583000000.00,3109000000.00,9352000000.00,6740000000.00,4158000000.00,1926000000.00,5909000000.00,4253000000.00,2718000000.00,1305000000.00,3976000000.00,2921000000.00,1933000000.00,977000000.00
