zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),28859000000.00,21025000000.00,11084000000.00,15357000000.00,15484000000.00,14565758000.00,10898463000.00,11478890000.00,15769276000.00,12593244000.00,9959932000.00,14575190000.00,21296827000.00,13218042000.00
受限制存款及现金流动(元),681000000.00,-,252000000.00,447000000.00,123000000.00,114605000.00,317521000.00,155688000.00,78245000.00,229887000.00,95997000.00,1968449000.00,646400000.00,530975000.00
应收账款及票据(元),4863000000.00,4764000000.00,28509000000.00,4728000000.00,4097000000.00,3494577000.00,4109324000.00,4263833000.00,4083324000.00,3539699000.00,3927256000.00,4177362000.00,3804167000.00,3534577000.00
应收关联方款项(元),785000000.00,421000000.00,168000000.00,993000000.00,845000000.00,318461000.00,345594000.00,268405000.00,146075000.00,66105000.00,1940559000.00,50000.00,50000.00,50000.00
预付款项及其他应收款流动(元),-,-,-,14070000000.00,9190000000.00,5243772000.00,1800397000.00,-,-,-,-,-,-,-
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,-,1279909000.00,985126000.00,826494000.00
短期投资(元),98725000000.00,89433000000.00,89381000000.00,92730000000.00,76668000000.00,76112428000.00,78943065000.00,66882650000.00,60042767000.00,58752895000.00,57969242000.00,55568672000.00,53661977000.00,44820229000.00
流动资产其他项目(元),44061000000.00,51141000000.00,21775000000.00,26744000000.00,29677000000.00,19583783000.00,3344516000.00,5605349000.00,4792437000.00,4416235000.00,4340677000.00,5649886000.00,4053862000.00,3554575000.00
流动资产合计(元),177974000000.00,166784000000.00,151169000000.00,155069000000.00,136084000000.00,119433384000.00,99758880000.00,88654815000.00,84912124000.00,79598065000.00,78233663000.00,83219518000.00,84448409000.00,66484942000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),14647000000.00,13666000000.00,12475000000.00,12058000000.00,11641000000.00,11144764000.00,11294348000.00,11181883000.00,11016548000.00,10489450000.00,10627127000.00,10564579000.00,9863213000.00,9153791000.00
无形资产(元),6875000000.00,5998000000.00,5467000000.00,4895000000.00,4900000000.00,5025807000.00,3872227000.00,4185263000.00,3489619000.00,3421210000.00,3334619000.00,3574316000.00,3633241000.00,3547426000.00
商誉(元),15806000000.00,15806000000.00,15806000000.00,15810000000.00,15847000000.00,15841570000.00,15342096000.00,15267733000.00,15267732000.00,15395573000.00,15395573000.00,17699332000.00,17727971000.00,17435437000.00
预付款项及其他长期应收款非流动(元),115000000.00,61000000.00,9000000.00,3709000000.00,3659000000.00,3240253000.00,2719970000.00,9491000.00,9491000.00,9745000.00,9725000.00,-,-,-
递延所得税资产非流动(元),1338000000.00,1312000000.00,1532000000.00,1532000000.00,1494000000.00,1413415000.00,1100230000.00,930117000.00,1131436000.00,1269036000.00,1008174000.00,258649000.00,258011000.00,257928000.00
长期投资(元),63123000000.00,59488000000.00,56283000000.00,46214000000.00,45007000000.00,45668766000.00,45690363000.00,41229704000.00,40642996000.00,38299459000.00,37958591000.00,8176655000.00,5582952000.00,4713572000.00
非流动资产其他项目(元),8442000000.00,6352000000.00,8987000000.00,4169000000.00,3528000000.00,3369795000.00,2219277000.00,3494280000.00,2474787000.00,1669032000.00,1285836000.00,1129980000.00,1197292000.00,1149242000.00
非流动资产合计(元),110346000000.00,102683000000.00,100559000000.00,88387000000.00,86076000000.00,85704370000.00,82238511000.00,76298471000.00,74032609000.00,70553505000.00,69619645000.00,41403511000.00,38262680000.00,36257396000.00
总资产(元),288320000000.00,269467000000.00,251728000000.00,243456000000.00,222160000000.00,205137754000.00,181997391000.00,164953286000.00,158944733000.00,150151570000.00,147853308000.00,124623029000.00,122711089000.00,102742338000.00
流动负债：,,,,,,,,,,,,,,
客户存款及垫款(元),6914000000.00,6801000000.00,6785000000.00,6920000000.00,6269000000.00,5646841000.00,6031681000.00,5913347000.00,5618519000.00,5148409000.00,5420230000.00,5557235000.00,4691757000.00,4139866000.00
短期债务及长期负债本期部分(元),643000000.00,407000000.00,1254000000.00,2361000000.00,4455000000.00,24453853000.00,4583296000.00,3924970000.00,1171115000.00,1143980000.00,1074820000.00,704243000.00,2221520000.00,2263004000.00
融资租赁负债流动(元),-,-,-,-,-,637000.00,8416000.00,16018000.00,27576000.00,38984000.00,46088000.00,49391000.00,48768000.00,53039000.00
应付账款及票据(元),43868000000.00,33492000000.00,34023000000.00,44808000000.00,35783000000.00,35798665000.00,33857401000.00,20951215000.00,19312633000.00,18815173000.00,17840192000.00,19858180000.00,16057112000.00,13460619000.00
应付关联方款项流动(元),538000000.00,179000000.00,153000000.00,337000000.00,248000000.00,391992000.00,458687000.00,350713000.00,498504000.00,137761000.00,785945000.00,1602000.00,1521000.00,4029000.00
递延收入流动(元),1928000000.00,1361000000.00,1356000000.00,1087000000.00,1264000000.00,1190866000.00,1162564000.00,1083511000.00,1079184000.00,1197749000.00,935527000.00,767147000.00,836067000.00,685274000.00
流动负债其他项目(元),27311000000.00,41166000000.00,38486000000.00,35410000000.00,31826000000.00,-,-,-,-,-,-,-,-,-
流动负债合计(元),81202000000.00,83406000000.00,82057000000.00,90923000000.00,79845000000.00,67482854000.00,46102045000.00,32239774000.00,27707531000.00,26482056000.00,26102802000.00,26937798000.00,23856745000.00,20605831000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),7534000000.00,6473000000.00,6701000000.00,6841000000.00,6963000000.00,6783230000.00,6822109000.00,4212382000.00,6508449000.00,3224387000.00,3239676000.00,4120196000.00,1861890000.00,1859220000.00
融资租赁负债非流动(元),-,-,-,-,-,348000.00,348000.00,430000.00,509000.00,587000.00,8435000.00,15502000.00,27159000.00,38749000.00
应付账款及票据非流动(元),32892000000.00,37423000000.00,29111000000.00,29768000000.00,27013000000.00,27472249000.00,27648477000.00,31551876000.00,31418139000.00,30553131000.00,30702116000.00,32591969000.00,31795845000.00,21640730000.00
递延收入非流动(元),1548000000.00,75000000.00,73000000.00,73000000.00,69000000.00,27978000.00,27828000.00,20324000.00,19597000.00,17969000.00,17413000.00,45879000.00,42413000.00,37994000.00
递延所得税负债非流动(元),3382000000.00,3359000000.00,3375000000.00,3472000000.00,3580000000.00,3601150000.00,3589235000.00,3452308000.00,3474464000.00,3409548000.00,3441290000.00,1078163000.00,1107326000.00,1111038000.00
非流动负债其他项目(元),74000000.00,55000000.00,39000000.00,75000000.00,6065000000.00,67505000.00,64954000.00,112254000.00,124029000.00,108766000.00,125860000.00,205071000.00,170337000.00,167690000.00
非流动负债合计(元),45430000000.00,47385000000.00,39299000000.00,40229000000.00,43690000000.00,37952460000.00,38152951000.00,39349574000.00,41545187000.00,37314388000.00,37534790000.00,38056780000.00,35004970000.00,24855421000.00
总负债(元),126632000000.00,130791000000.00,121356000000.00,131152000000.00,123535000000.00,105435314000.00,84254996000.00,71589348000.00,69252718000.00,63796444000.00,63637592000.00,64994578000.00,58861715000.00,45461252000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),-,-,-,-,-,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00
股本溢价(元),30663000000.00,13009000000.00,12088000000.00,10958000000.00,9958000000.00,8987903000.00,8322787000.00,7656137000.00,7160899000.00,6744598000.00,6402349000.00,5833199000.00,5497383000.00,3924639000.00
留存收益(元),118113000000.00,110425000000.00,102328000000.00,97979000000.00,89564000000.00,86587095000.00,85733706000.00,81765379000.00,78808198000.00,76525815000.00,74659355000.00,50111572000.00,53619055000.00,50042654000.00
累计其他全面收益(元),304000000.00,1070000000.00,930000000.00,70000000.00,-861000000.00,-1460625000.00,-1782966000.00,-1162843000.00,-1027710000.00,-967077000.00,-806056000.00,174448000.00,1028775000.00,593479000.00
归属于母公司股东权益(元),149080000000.00,124504000000.00,115346000000.00,109007000000.00,98661000000.00,94114388000.00,92273542000.00,88258688000.00,84941402000.00,82303351000.00,80255663000.00,56119234000.00,60145228000.00,54560787000.00
少数股东权益(元),12608000000.00,14172000000.00,15026000000.00,3297000000.00,-36000000.00,5588052000.00,5468853000.00,5105250000.00,4750613000.00,4051775000.00,3960053000.00,3509217000.00,3704146000.00,2720299000.00
股东权益合计(元),161688000000.00,138676000000.00,130372000000.00,112304000000.00,98625000000.00,99702440000.00,97742395000.00,93363938000.00,89692015000.00,86355126000.00,84215716000.00,59628451000.00,63849374000.00,57281086000.00
负债及股东权益合计(元),288320000000.00,269467000000.00,251728000000.00,243456000000.00,222160000000.00,205137754000.00,181997391000.00,164953286000.00,158944733000.00,150151570000.00,147853308000.00,124623029000.00,122711089000.00,102742338000.00
公告日期,2018-07-31,2018-04-26,2018-03-15,2017-10-26,2017-07-27,2017-04-27,2017-03-31,2016-10-27,2016-07-28,2016-04-28,2016-04-08,2015-10-29,2015-07-27,2015-04-29
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2017年年报,2016年年报,2015年年报

起始日期,2017-01-01,2016-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231
原始币种,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,
净利润(元),18288000000.00,11595613000.00,32432246000.00
折旧及摊销(元),11748000000.00,8327557000.00,5860912000.00
基于股票的补偿费(元),3244000000.00,1759988000.00,1387118000.00
减值及拨备(元),2943000000.00,689959000.00,363856000.00
递延所得税(元),-756000000.00,-13561000.00,2260739000.00
资产处置损益(元),-5580000000.00,-1330258000.00,-24459787000.00
投资损益(元),-3244000000.00,-4971008000.00,-2709222000.00
权益性投资损益(元),63000000.00,1025727000.00,-3867000.00
