zichanfuzhai
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报
应付帐款增加减少(元),4320000.00,16769000.00,32115000.00,17738000.00,16598000.00,23952000.00
预收账款、按金及其他应付款增加减少(元),-,-26280000.00,40141000.00,-15305000.00,89808000.00,22542000.00
经营资金变动其他项目(元),-8125000.00,-5556000.00,2187000.00,2498000.00,2229000.00,2290000.00
经营活动产生的现金(元),900095000.00,475947000.00,957805000.00,539849000.00,805661000.00,421924000.00
已付税项(元),-259408000.00,-149749000.00,-200487000.00,-101270000.00,-181229000.00,-86243000.00
经营活动产生的现金流量净额(元),640687000.00,326198000.00,757318000.00,438579000.00,624432000.00,335681000.00
投资活动产生的现金流量,,,,,,
购买物业、厂房及设备支付的现金(元),-284173000.00,-128758000.00,-95636000.00,-46775000.00,-163223000.00,-73078000.00
出售物业、厂房及设备收到的现金(元),981000.00,1206000.00,1326000.00,683000.00,394000.00,394000.00
购买无形资产及其他资产支付的现金(元),-44097000.00,-9214000.00,-794000.00,-404000.00,-32106000.00,-28044000.00
出售无形资产及其他资产收到的现金(元),2302087000.00,1020817000.00,1460000000.00,30000000.00,-,775000000.00
购买子公司、联营企业及合营企业支付的现金(元),-13901000.00,-13901000.00,-,-,-,-
购买证券投资所支付的现金(元),-556537000.00,-330000000.00,-493063000.00,-280000000.00,-1410100000.00,-267601000.00
出售证券投资所收到的现金(元),530000000.00,340000000.00,570000000.00,255000000.00,1305100000.00,350000000.00
已收利息及股息投资(元),69716000.00,12118000.00,11662000.00,2682000.00,16628000.00,13454000.00
投资活动产生的现金流量净额其他项目(元),-2413136000.00,-1042208000.00,-4392318000.00,-194000000.00,-,-805000000.00
投资活动产生的现金流量净额(元),-320866000.00,-149940000.00,-2938823000.00,-232814000.00,-283307000.00,-34875000.00
融资活动产生的现金流量,,,,,,
偿还借款(元),-,-,-,-202771000.00,-135377000.00,-
发行股份(元),-,-,2520669000.00,-,146811000.00,-
发行费用(元),-12465000.00,-12465000.00,-63830000.00,-,-,-
已付股息融资(元),-206833000.00,-206833000.00,-,-,-340444000.00,-300000000.00
融资活动产生的现金流量净额其他项目(元),-,-,-202771000.00,-,-,-
融资活动产生的现金流量净额(元),-219298000.00,-219298000.00,2254068000.00,-202771000.00,-329010000.00,-300000000.00
现金及现金等价物净增加额(元),100523000.00,-43040000.00,72563000.00,2994000.00,12115000.00,806000.00
现金及现金等价物的期初余额(元),200709000.00,200709000.00,82338000.00,82338000.00,63781000.00,63781000.00
现金及现金等价物的期末余额其他项目(元),-138546000.00,-64230000.00,45808000.00,450000.00,6442000.00,-
现金及现金等价物的期末余额(元),162686000.00,93439000.00,200709000.00,85782000.00,82338000.00,64587000.00
