zichanfuzhai
,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

总负债(元),176130000000.00,166258000000.00,177643000000.00,159450000000.00,168692000000.00,155288000000.00,155801000000.00,142152000000.00,121697000000.00,107063000000.00,103318000000.00,95451000000.00
股东权益：,,,,,,,,,,,,
普通股(元),71223000000.00,70418000000.00,70192000000.00,69419000000.00,69315000000.00,68554000000.00,68177000000.00,67747000000.00,68178000000.00,68012000000.00,68279000000.00,68093000000.00
留存收益(元),13682000000.00,9974000000.00,8567000000.00,19702000000.00,2648000000.00,531000000.00,120000000.00,944000000.00,2282000000.00,4954000000.00,6728000000.00,7614000000.00
累计其他全面收益(元),-2187000000.00,-1153000000.00,-399000000.00,526000000.00,431000000.00,644000000.00,512000000.00,1681000000.00,1537000000.00,1840000000.00,1773000000.00,1738000000.00
归属于母公司股东权益(元),82718000000.00,79239000000.00,78360000000.00,89647000000.00,72394000000.00,69729000000.00,68809000000.00,70372000000.00,71997000000.00,74806000000.00,76780000000.00,77445000000.00
股东权益合计(元),82718000000.00,79239000000.00,78360000000.00,89647000000.00,72394000000.00,69729000000.00,68809000000.00,70372000000.00,71997000000.00,74806000000.00,76780000000.00,77445000000.00
负债及股东权益合计(元),258848000000.00,245497000000.00,256003000000.00,249097000000.00,241086000000.00,225017000000.00,224610000000.00,212524000000.00,193694000000.00,181869000000.00,180098000000.00,172896000000.00
公告日期,2018-07-19,2018-04-26,2018-01-31,2017-10-26,2017-08-02,2017-04-27,2017-01-26,2016-10-20,2016-07-28,2016-04-21,2016-01-28,2015-10-22
会计准则,美国会计准则,美国会计准则,,,,,,,,,,
审计意见,,,,,,,,,,,,
核数师,,,,,,,,,,,,

xianjinliuliang
,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-07-01,2017-07-01,2017-07-01,2017-07-01,2016-07-01,2016-07-01,2016-07-01,2016-07-01,2015-07-01,2015-07-01,2015-07-01,2015-07-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,
净利润(元),16571000000.00,7698000000.00,274000000.00,6576000000.00,21204000000.00,14691000000.00,9890000000.00,4690000000.00,16798000000.00,13676000000.00,9618000000.00,4620000000.00
折旧及摊销(元),10261000000.00,7745000000.00,5035000000.00,2499000000.00,8778000000.00,6435000000.00,3982000000.00,1816000000.00,6622000000.00,4712000000.00,3005000000.00,1461000000.00
基于股票的补偿费(元),3940000000.00,2928000000.00,1959000000.00,973000000.00,3266000000.00,2353000000.00,1470000000.00,703000000.00,2668000000.00,2004000000.00,1030000000.00,392000000.00
减值及拨备(元),-,-,-,-,-,-,-,-,630000000.00,-,-,-
递延所得税(元),-5143000000.00,-2754000000.00,-2358000000.00,-53000000.00,-3296000000.00,-1349000000.00,-572000000.00,15000000.00,-448000000.00,177000000.00,-174000000.00,73000000.00
投资损益(元),-2212000000.00,-1645000000.00,-1207000000.00,-523000000.00,-2073000000.00,-1553000000.00,-963000000.00,-311000000.00,-223000000.00,216000000.00,151000000.00,101000000.00
经营业务调整其他项目(元),-,-,-,-,9976000000.00,1229000000.00,175000000.00,-321000000.00,8574000000.00,572000000.00,-291000000.00,-932000000.00
存货的减少(增加)(元),-465000000.00,107000000.00,182000000.00,-1023000000.00,50000000.00,249000000.00,265000000.00,-867000000.00,600000000.00,408000000.00,167000000.00,-937000000.00
待摊费用及其他资产(元),-1237000000.00,-948000000.00,-586000000.00,-596000000.00,527000000.00,20000000.00,71000000.00,-995000000.00,-1208000000.00,-1856000000.00,-1141000000.00,-285000000.00
应收账款及票据减少(增加)(元),-3862000000.00,5326000000.00,4041000000.00,7949000000.00,-925000000.00,5950000000.00,4463000000.00,7174000000.00,-530000000.00,5546000000.00,3258000000.00,6376000000.00
应付账款及票据增加(减少)(元),1148000000.00,138000000.00,531000000.00,-407000000.00,81000000.00,-769000000.00,-344000000.00,-443000000.00,88000000.00,105000000.00,234000000.00,-135000000.00
递延收入(元),-,-,-2871000000.00,-,-,-,-,-,-,-,-,-
应付税项(元),18183000000.00,17280000000.00,16635000000.00,-,-,-,-,-,-,-,-,-
应计费用及其他负债(元),778000000.00,-629000000.00,-1320000000.00,-1149000000.00,1919000000.00,1246000000.00,-595000000.00,88000000.00,-246000000.00,-699000000.00,-1665000000.00,-2140000000.00
经营业务其他项目(元),5922000000.00,-2780000000.00,-,-1806000000.00,-,-,-,-,-,-,-,-
经营活动产生的现金流量净额(元),43884000000.00,32466000000.00,20315000000.00,12440000000.00,39507000000.00,28502000000.00,17842000000.00,11549000000.00,33325000000.00,24861000000.00,14192000000.00,8594000000.00
投资活动产生的现金流量：,,,,,,,,,,,,
购买固定资产支付的现金(元),-11632000000.00,-7652000000.00,-4718000000.00,-2132000000.00,-8129000000.00,-5846000000.00,-4151000000.00,-2163000000.00,-8343000000.00,-5688000000.00,-3380000000.00,-1356000000.00
购买无形资产及其他资产支付的现金(元),-137380000000.00,-105000000000.00,-66537000000.00,-27735000000.00,-148861000000.00,-125640000000.00,-86582000000.00,-48522000000.00,-107704000000.00,-83432000000.00,-61283000000.00,-31884000000.00
处置无形资产及其他资产收到的现金(元),117577000000.00,90553000000.00,64297000000.00,23036000000.00,136350000000.00,117754000000.00,81310000000.00,32323000000.00,93287000000.00,76292000000.00,56693000000.00,28502000000.00
贷款偿还(元),-,-,-71000000.00,106000000.00,-197000000.00,-94000000.00,986000000.00,-84000000.00,203000000.00,281000000.00,347000000.00,62000000.00
投资支付现金(元),-,-,-,-,-,-,-24784000000.00,-,-,-,-,-
收购附属公司(元),-888000000.00,-454000000.00,-206000000.00,-179000000.00,-25944000000.00,-25586000000.00,-,-24000000.00,-1393000000.00,-1330000000.00,-771000000.00,-390000000.00
投资业务其他项目(元),26262000000.00,19162000000.00,-,-,-,-,-,-,-,-,-,-
投资活动产生的现金流量净额(元),-6061000000.00,-3391000000.00,-7235000000.00,-6904000000.00,-46781000000.00,-39412000000.00,-33221000000.00,-18470000000.00,-23950000000.00,-13877000000.00,-8394000000.00,-5066000000.00
融资活动产生的现金流量：,,,,,,,,,,,,
偿还借款(元),-7324000000.00,-7324000000.00,49000000.00,-,-,-,-,-,-,-,-,-
发行股份(元),1002000000.00,747000000.00,496000000.00,307000000.00,772000000.00,551000000.00,372000000.00,241000000.00,668000000.00,495000000.00,336000000.00,219000000.00
回购股份(元),-10721000000.00,-8359000000.00,-4578000000.00,-2570000000.00,-11788000000.00,-10023000000.00,-7961000000.00,-4362000000.00,-15969000000.00,-12292000000.00,-8435000000.00,-4757000000.00
发行债券(元),7183000000.00,7183000000.00,7183000000.00,3954000000.00,39381000000.00,34146000000.00,42046000000.00,21587000000.00,21079000000.00,13274000000.00,13249000000.00,5011000000.00
赎回债券(元),-10060000000.00,-9379000000.00,-4496000000.00,-4879000000.00,-7922000000.00,-4554000000.00,-11488000000.00,-225000000.00,-2796000000.00,-2771000000.00,-1871000000.00,-1750000000.00
股息支付(元),-12699000000.00,-9473000000.00,-6241000000.00,-3003000000.00,-11845000000.00,-8836000000.00,-5824000000.00,-2800000000.00,-11006000000.00,-8185000000.00,-5343000000.00,-2475000000.00
贷款收益(元),-,-,-,-,-,-,-,-,-,-,-2141000000.00,-
超额税收优惠(元),-,-,-,-,-,-,-,-,-,-,302000000.00,282000000.00
其他筹资活动产生的现金流量净额(元),-971000000.00,-946000000.00,-306000000.00,-150000000.00,-190000000.00,-175000000.00,200000000.00,-112000000.00,-369000000.00,-366000000.00,-243000000.00,-178000000.00
筹资业务其他项目(元),-,-,-,-,-,-,-,-,-,481000000.00,-,-
融资活动产生的现金流量净额(元),-33590000000.00,-27551000000.00,-7893000000.00,-6341000000.00,8408000000.00,11109000000.00,17345000000.00,14329000000.00,-8393000000.00,-9364000000.00,-4146000000.00,-3648000000.00
汇率变动影响(元),50000000.00,34000000.00,9000000.00,26000000.00,19000000.00,4000000.00,-8000000.00,10000000.00,-67000000.00,-45000000.00,-62000000.00,-44000000.00
现金及现金等价物期初余额(元),7663000000.00,7663000000.00,7663000000.00,7663000000.00,6510000000.00,6510000000.00,6510000000.00,6510000000.00,5595000000.00,5595000000.00,5595000000.00,5595000000.00
现金及现金等价物增加(减少)额(元),4283000000.00,1558000000.00,5196000000.00,-779000000.00,1153000000.00,203000000.00,1958000000.00,7418000000.00,915000000.00,1575000000.00,1590000000.00,-164000000.00
现金及现金等价物期末余额(元),11946000000.00,9221000000.00,12859000000.00,6884000000.00,7663000000.00,6713000000.00,8468000000.00,13928000000.00,6510000000.00,7170000000.00,7185000000.00,5431000000.00
公告日期,2018-07-19,2018-04-26,2018-01-31,2017-10-26,2017-08-02,2017-04-27,2017-01-26,2016-10-20,2016-07-28,2016-04-21,2016-01-28,2015-10-22
会计准则,美国会计准则,美国会计准则,,,,,,,,,,
审计意见,,,,,,,,,,,,
核数师,,,,,,,,,,,,

lirun
,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-07-01,2017-07-01,2017-07-01,2017-07-01,2016-07-01,2016-07-01,2016-07-01,2016-07-01,2015-07-01,2015-07-01,2015-07-01,2015-07-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),110360000000.00,80275000000.00,53456000000.00,24538000000.00,89950000000.00,66633000000.00,44543000000.00,20453000000.00,85320000000.00,64706000000.00,44175000000.00,20379000000.00
主营收入(元),110360000000.00,80275000000.00,53456000000.00,24538000000.00,89950000000.00,66633000000.00,44543000000.00,20453000000.00,85320000000.00,-,-,-
营业成本(元),38353000000.00,28611000000.00,19342000000.00,8278000000.00,34261000000.00,25805000000.00,17745000000.00,7844000000.00,32780000000.00,24801000000.00,17079000000.00,7207000000.00
主营成本(元),38353000000.00,28611000000.00,19342000000.00,8278000000.00,34261000000.00,25805000000.00,17745000000.00,7844000000.00,32780000000.00,-,-,-
毛利(元),72007000000.00,51664000000.00,34114000000.00,16260000000.00,55689000000.00,40828000000.00,26798000000.00,12609000000.00,52540000000.00,39905000000.00,27096000000.00,13172000000.00
减：研发费用(元),14726000000.00,10793000000.00,7078000000.00,3574000000.00,13037000000.00,9523000000.00,6168000000.00,3106000000.00,11988000000.00,8842000000.00,5862000000.00,2962000000.00
减：营销费用(元),17469000000.00,12709000000.00,8374000000.00,3812000000.00,15539000000.00,11183000000.00,7304000000.00,3233000000.00,14697000000.00,10699000000.00,7293000000.00,3333000000.00
减：一般及行政费用(元),4754000000.00,3483000000.00,2275000000.00,1166000000.00,4481000000.00,3126000000.00,1924000000.00,1045000000.00,4563000000.00,3262000000.00,2122000000.00,1084000000.00
减：减值及拨备(元),-,-,-,-,306000000.00,-,-,-,1110000000.00,-,-,-
营业利润(元),35058000000.00,24679000000.00,16387000000.00,7708000000.00,22326000000.00,16996000000.00,11402000000.00,5225000000.00,20182000000.00,17102000000.00,11819000000.00,5793000000.00
加：其他收入(支出)(元),1416000000.00,1115000000.00,766000000.00,276000000.00,823000000.00,608000000.00,286000000.00,100000000.00,-431000000.00,-698000000.00,-451000000.00,-280000000.00
持续经营税前利润(元),36474000000.00,25794000000.00,17153000000.00,7984000000.00,23149000000.00,17604000000.00,11688000000.00,5325000000.00,19751000000.00,16404000000.00,11368000000.00,5513000000.00
减：所得税(元),19903000000.00,18096000000.00,16879000000.00,1408000000.00,1945000000.00,2913000000.00,1798000000.00,635000000.00,2953000000.00,2728000000.00,1750000000.00,893000000.00
持续经营净利润(元),16571000000.00,7698000000.00,274000000.00,6576000000.00,21204000000.00,14691000000.00,9890000000.00,4690000000.00,16798000000.00,13676000000.00,9618000000.00,4620000000.00
净利润(元),16571000000.00,7698000000.00,274000000.00,6576000000.00,21204000000.00,14691000000.00,9890000000.00,4690000000.00,16798000000.00,13676000000.00,9618000000.00,4620000000.00
归属于母公司股东净利润(元),16571000000.00,7698000000.00,274000000.00,6576000000.00,21204000000.00,14691000000.00,9890000000.00,4690000000.00,16798000000.00,13676000000.00,9618000000.00,4620000000.00
归属于普通股股东净利润(元),16571000000.00,7698000000.00,274000000.00,6576000000.00,21204000000.00,14691000000.00,9890000000.00,4690000000.00,16798000000.00,13676000000.00,9618000000.00,4620000000.00
每股股息－普通股(元),1.68,-,0.84,0.42,1.56,1.17,0.78,0.39,1.44,1.08,0.72,-
每股收益,,,,,,,,,,,,
基本每股收益－普通股(元),2.15,1.00,0.04,0.85,2.74,1.89,1.27,0.60,2.12,1.72,1.21,0.58
摊薄每股收益－普通股(元),2.13,0.99,0.04,0.84,2.71,1.87,1.26,0.60,2.10,1.70,1.20,0.57
其他全面收益(元),-2856000000.00,-1780000000.00,-1026000000.00,-101000000.00,-1106000000.00,-893000000.00,-1025000000.00,144000000.00,-985000000.00,-682000000.00,-749000000.00,-784000000.00
全面收益总额(元),13715000000.00,5918000000.00,-752000000.00,6475000000.00,20098000000.00,13798000000.00,8865000000.00,4834000000.00,15813000000.00,12994000000.00,8869000000.00,3836000000.00
公告日期,2018-07-19,2018-04-26,2018-01-31,2017-10-26,2017-08-02,2017-04-27,2017-01-26,2016-10-20,2016-07-28,2016-04-21,2016-01-28,2015-10-22
会计准则,美国会计准则,美国会计准则,,,,,,,,,,
审计意见,,,,,,,,,,,,
核数师,,,,,,,,,,,,

