zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
非流动负债其他项目(元),129583000000.00,36198000000.00,36571000000.00,32566000000.00,33443000000.00,78125000000.00,32197000000.00,32383000000.00,24294000000.00,4037000000.00,4239000000.00,4206000000.00,3723000000.00
非流动负债合计(元),156717000000.00,141875000000.00,145044000000.00,91291000000.00,92303000000.00,88920000000.00,88711000000.00,95899000000.00,86036000000.00,62522000000.00,62739000000.00,60752000000.00,57714000000.00
总负债(元),320913000000.00,277685000000.00,281482000000.00,210825000000.00,199309000000.00,182691000000.00,181307000000.00,163330000000.00,146874000000.00,114561000000.00,116741000000.00,103839000000.00,97411000000.00
股东权益：,,,,,,,,,,,,,
普通股(元),1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
库存股(元),-1412000000.00,-2233000000.00,-2233000000.00,-2823000000.00,-2823000000.00,-2823000000.00,-2823000000.00,-2823000000.00,-2823000000.00,-,-,-,-
股本溢价(元),203367000000.00,186764000000.00,179686000000.00,175186000000.00,170707000000.00,164585000000.00,158596000000.00,154927000000.00,150553000000.00,132206000000.00,127802000000.00,122975000000.00,122146000000.00
留存收益(元),189119000000.00,172353000000.00,164879000000.00,140872000000.00,123271000000.00,108558000000.00,97969000000.00,80484000000.00,72992000000.00,78752000000.00,75618000000.00,63120000000.00,55700000000.00
其他储备(元),4233000000.00,4017000000.00,3757000000.00,3626000000.00,3492000000.00,3456000000.00,3333000000.00,2897000000.00,2700000000.00,2356000000.00,2063000000.00,1996000000.00,1613000000.00
累计其他全面收益(元),-2047000000.00,5083000000.00,4035000000.00,5474000000.00,4132000000.00,-,6910000000.00,11212000000.00,2096000000.00,-,9598000000.00,3002000000.00,3884000000.00
归属于母公司股东权益其他项目(元),2983000000.00,2838000000.00,-164000000.00,-164000000.00,-160000000.00,8014000000.00,-301000000.00,3581000000.00,4152000000.00,4022000000.00,297000000.00,295000000.00,184000000.00
归属于母公司股东权益(元),396244000000.00,368823000000.00,349961000000.00,322172000000.00,298620000000.00,281791000000.00,263685000000.00,250279000000.00,229671000000.00,217337000000.00,215379000000.00,191389000000.00,183528000000.00
少数股东权益(元),79505000000.00,70616000000.00,77010000000.00,44929000000.00,45022000000.00,42330000000.00,42327000000.00,42793000000.00,33425000000.00,32552000000.00,32551000000.00,32530000000.00,1121000000.00
股东权益合计其他项目(元),-,-,-,-,-,-,3547000000.00,-,-,-,-,-,-
股东权益合计(元),475749000000.00,439439000000.00,426971000000.00,367101000000.00,343642000000.00,324121000000.00,309559000000.00,293072000000.00,263096000000.00,249889000000.00,247930000000.00,223919000000.00,184649000000.00
负债及股东权益合计(元),796662000000.00,717124000000.00,708453000000.00,577926000000.00,542951000000.00,506812000000.00,490866000000.00,456402000000.00,409970000000.00,364450000000.00,364671000000.00,327758000000.00,282060000000.00
公告日期,2018-08-23,2018-05-04,2018-02-01,2017-11-02,2017-08-17,2017-06-15,2017-01-24,2016-11-02,2016-08-11,2016-05-24,2016-01-28,2015-10-27,2015-08-12
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,

xianjinliuliang
