分出保费(元),-1497000000.00,-714000000.00,-1313000000.00,-630000000.00,-1165000000.00,-585000000.00
净保费收入(元),25489000000.00,11816000000.00,20444000000.00,9396000000.00,18616000000.00,8776000000.00
已赚净保费(元),25489000000.00,11816000000.00,20444000000.00,9396000000.00,18616000000.00,8776000000.00
投资收益(元),12622000000.00,6488000000.00,7555000000.00,3364000000.00,4462000000.00,5051000000.00
其他收入(元),219000000.00,101000000.00,197000000.00,100000000.00,196000000.00,101000000.00
营业支出计算(元),-29046000000.00,-13875000000.00,-21418000000.00,-9626000000.00,-18114000000.00,-10389000000.00
保单持有人利益(元),-24841000000.00,-11991000000.00,-18221000000.00,-8131000000.00,-15192000000.00,-9009000000.00
手续费及佣金支出(元),-3455000000.00,-1606000000.00,-2735000000.00,-1296000000.00,-2468000000.00,-1168000000.00
其他支出(元),-750000000.00,-278000000.00,-462000000.00,-199000000.00,-454000000.00,-212000000.00
经营溢利计算(元),9284000000.00,4530000000.00,6778000000.00,3234000000.00,5160000000.00,3539000000.00
应占联营公司溢利(元),-,3000000.00,-5000000.00,-3000000.00,-,-
财务成本(元),-,-85000000.00,-149000000.00,-71000000.00,-152000000.00,-80000000.00
影响税前利润的其他项目(元),1969000000.00,936000000.00,1752000000.00,831000000.00,1658000000.00,801000000.00
税前利润(元),7315000000.00,3512000000.00,4872000000.00,2329000000.00,3350000000.00,2658000000.00
所得税(元),-1128000000.00,-553000000.00,-660000000.00,-234000000.00,-636000000.00,-465000000.00
净利润(元),6187000000.00,2959000000.00,4212000000.00,2095000000.00,2714000000.00,2193000000.00
本公司拥有人应占净利润(元),6120000000.00,2925000000.00,4164000000.00,2065000000.00,2691000000.00,2180000000.00
非控股权益应占净利润(元),67000000.00,34000000.00,48000000.00,30000000.00,23000000.00,13000000.00
每股收益,,,,,,
基本每股收益(元),0.51,0.24,0.35,0.17,0.22,0.18
稀释每股收益(元),0.51,0.24,0.35,0.17,0.22,0.18
其他全面收益(元),2125000000.00,1285000000.00,791000000.00,3195000000.00,-3287000000.00,-660000000.00
全面收益总额(元),8312000000.00,4244000000.00,5003000000.00,5290000000.00,-573000000.00,1533000000.00
本公司拥有人应占全面收益总额(元),8250000000.00,4212000000.00,4968000000.00,5252000000.00,-581000000.00,-
非控股权益应占全面收益总额(元),62000000.00,32000000.00,35000000.00,38000000.00,8000000.00,-
公告日期,2018-02-27,2017-07-28,2017-02-24,2016-07-28,2016-02-25,2015-07-24
会计准则,国际会计准则,国际会计准则,国际会计准则,国际及香港会计准则,国际及香港会计准则,国际及香港会计准则
审计意见,-,-,-,-,-,-
核数师,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

