zichanfuzhai
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

截止日期,2018-06-30,2017-11-30,2017-05-31,2016-11-30,2016-05-31,2015-11-30,2015-05-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1130,1130,1130,1130,1130,1130
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,美元,美元,美元,美元,美元,美元,美元
资产,,,,,,,
现金及现金等价物(元),3013000000.00,2289000000.00,1724000000.00,1642000000.00,1722000000.00,1992000000.00,1655000000.00
以公允价值计量且其变动计入当期损益的金融资产(元),-,62781000000.00,24408000000.00,-,24348000000.00,-,-
可供出售金融资产(元),-,105466000000.00,97370000000.00,90092000000.00,88158000000.00,80940000000.00,80309000000.00
再保险资产(元),2713000000.00,2481000000.00,2240000000.00,2046000000.00,1800000000.00,1652000000.00,1636000000.00
贷款及垫款(元),7611000000.00,7973000000.00,7282000000.00,7062000000.00,7040000000.00,7211000000.00,7471000000.00
可收回本期税项(元),123000000.00,131000000.00,77000000.00,59000000.00,49000000.00,45000000.00,38000000.00
物业、厂房及设备(元),1201000000.00,1213000000.00,1166000000.00,1132000000.00,1117000000.00,500000000.00,517000000.00
投资物业(元),4720000000.00,4365000000.00,4145000000.00,3910000000.00,3917000000.00,1386000000.00,1432000000.00
商誉及无形资产(元),1833000000.00,1864000000.00,1771000000.00,1743000000.00,1800000000.00,1834000000.00,2136000000.00
无形资产(元),1833000000.00,1864000000.00,1771000000.00,1743000000.00,1800000000.00,1834000000.00,2136000000.00
于联营和合营公司投资(元),617000000.00,642000000.00,630000000.00,650000000.00,609000000.00,137000000.00,141000000.00
递延税项资产(元),11000000.00,9000000.00,9000000.00,7000000.00,6000000.00,9000000.00,10000000.00
资产其他项目(元),198878000000.00,26477000000.00,59308000000.00,76731000000.00,50273000000.00,71916000000.00,76715000000.00
资产总额(元),220720000000.00,215691000000.00,200130000000.00,185074000000.00,180839000000.00,167622000000.00,172060000000.00
负债,,,,,,,
保险负债总额(元),156544000000.00,149131000000.00,138592000000.00,128439000000.00,122792000000.00,116115000000.00,116879000000.00
投资合同负债(元),7943000000.00,8082000000.00,7487000000.00,7028000000.00,6997000000.00,7116000000.00,8050000000.00
借款(元),5421000000.00,3958000000.00,3957000000.00,3460000000.00,3610000000.00,3195000000.00,3193000000.00
衍生金融负债(元),430000000.00,361000000.00,363000000.00,644000000.00,620000000.00,695000000.00,371000000.00
卖出回购金融资产(元),1977000000.00,1883000000.00,2222000000.00,1984000000.00,2554000000.00,3085000000.00,3856000000.00
应付税项(元),536000000.00,421000000.00,424000000.00,210000000.00,290000000.00,265000000.00,367000000.00
递延税项负债(元),3426000000.00,3595000000.00,3338000000.00,3276000000.00,3422000000.00,2954000000.00,3154000000.00
负债其他项目(元),5552000000.00,5888000000.00,5072000000.00,4723000000.00,4673000000.00,4657000000.00,4292000000.00
负债总额(元),181829000000.00,173319000000.00,161455000000.00,149764000000.00,144958000000.00,138082000000.00,140162000000.00
股东权益,,,,,,,
股本(元),14069000000.00,14065000000.00,14064000000.00,13998000000.00,13973000000.00,13971000000.00,13967000000.00
储备(元),24691000000.00,28226000000.00,24544000000.00,21337000000.00,21918000000.00,15751000000.00,18107000000.00
留存收益(元),35175000000.00,34087000000.00,31285000000.00,29334000000.00,27573000000.00,24708000000.00,24486000000.00
其他储备(元),-10484000000.00,-5861000000.00,-6741000000.00,-7997000000.00,-5655000000.00,-8957000000.00,-6379000000.00
归属于母公司股东权益其他项目(元),-254000000.00,-297000000.00,-294000000.00,-351000000.00,-350000000.00,-321000000.00,-322000000.00
归属于母公司股东权益(元),38506000000.00,41994000000.00,38314000000.00,34984000000.00,35541000000.00,29401000000.00,31752000000.00
非控股权益(元),385000000.00,378000000.00,361000000.00,326000000.00,340000000.00,139000000.00,146000000.00
股东权益合计(元),38891000000.00,42372000000.00,38675000000.00,35310000000.00,35881000000.00,29540000000.00,31898000000.00
负债及股东权益合计(元),220720000000.00,215691000000.00,200130000000.00,185074000000.00,180839000000.00,167622000000.00,172060000000.00
公告日期,2018-08-24,2018-02-27,2017-07-28,2017-02-24,2016-07-28,2016-02-25,2015-07-24
会计准则,国际及香港会计准则,国际会计准则,国际会计准则,国际会计准则,国际及香港会计准则,国际及香港会计准则,国际及香港会计准则
审计意见,-,-,-,-,-,-,-
核数师,-,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

xianjinliuliang
,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

起始日期,2016-12-01,2016-12-01,2015-12-01,2015-12-01,2014-12-01,2014-12-01
截止日期,2017-11-30,2017-05-31,2016-11-30,2016-05-31,2015-11-30,2015-05-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1130,1130,1130,1130,1130,1130
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,美元,美元,美元,美元,美元,美元
经营活动产生的现金流量,,,,,,
除税前利润(元),7315000000.00,3512000000.00,4872000000.00,2329000000.00,3350000000.00,2658000000.00
投资亏损收益(元),-18413000000.00,-9595000000.00,-,-5697000000.00,-,-
利息收入(元),-,-,-13438000000.00,-,-,-
经营资金变动其他项目(元),6851000000.00,-,-,-,-,-
经营活动产生的现金(元),-4247000000.00,-,-,-,-,-
已收利息经营(元),5627000000.00,2735000000.00,5261000000.00,2563000000.00,4944000000.00,2485000000.00
已付利息经营(元),-50000000.00,-23000000.00,-39000000.00,-22000000.00,-76000000.00,-49000000.00
已付税项(元),-582000000.00,-166000000.00,-548000000.00,-198000000.00,-546000000.00,-176000000.00
经营活动产生的现金流量净额其他项目(元),703000000.00,3930000000.00,5256000000.00,1771000000.00,-6435000000.00,-4573000000.00
经营活动产生的现金流量净额(元),1451000000.00,393000000.00,1364000000.00,746000000.00,1237000000.00,345000000.00
投资活动产生的现金流量,,,,,,
购买物业、厂房及设备支付的现金(元),-104000000.00,-44000000.00,-181000000.00,-122000000.00,-139000000.00,-65000000.00
购买无形资产及其他资产支付的现金(元),-151000000.00,-32000000.00,-64000000.00,-25000000.00,-103000000.00,-34000000.00
出售无形资产及其他资产收到的现金(元),20000000.00,-,-,-,-,-
购买子公司、联营企业及合营企业支付的现金(元),-,-6000000.00,-310000000.00,-310000000.00,-9000000.00,-
出售子公司、联营企业及合营企业收到的现金(元),-,-,-,-,21000000.00,-
已收利息及股息投资(元),-6000000.00,-,-,-,-,-
投资活动产生的现金流量净额其他项目(元),-,-,2000000.00,-,-,-
投资活动产生的现金流量净额(元),-241000000.00,-82000000.00,-553000000.00,-457000000.00,-230000000.00,-99000000.00
融资活动产生的现金流量,,,,,,
新增借款(元),-,-,13000000.00,13000000.00,3000000.00,-
偿还借款(元),-1000000.00,-,-486000000.00,-333000000.00,-490000000.00,-487000000.00
吸收投资所得(元),-6000000.00,-1000000.00,-86000000.00,-84000000.00,-98000000.00,-94000000.00
发行股份(元),67000000.00,66000000.00,27000000.00,2000000.00,9000000.00,5000000.00
发行债券(元),497000000.00,497000000.00,733000000.00,733000000.00,745000000.00,745000000.00
已付股息融资(元),-1390000000.00,-984000000.00,-1136000000.00,-787000000.00,-832000000.00,-540000000.00
已付利息融资(元),-136000000.00,-62000000.00,-108000000.00,-45000000.00,-76000000.00,-33000000.00
融资活动产生的现金流量净额(元),-969000000.00,-484000000.00,-1043000000.00,-501000000.00,-739000000.00,-404000000.00
现金及现金等价物净增加额(元),241000000.00,-173000000.00,-232000000.00,-212000000.00,268000000.00,-158000000.00
现金及现金等价物的期初余额(元),1482000000.00,1482000000.00,1750000000.00,1750000000.00,1631000000.00,1631000000.00
现金及现金等价物的期末余额其他项目(元),64000000.00,31000000.00,-36000000.00,-,-149000000.00,-58000000.00
现金及现金等价物的期末余额(元),1787000000.00,1340000000.00,1482000000.00,1538000000.00,1750000000.00,1415000000.00
公告日期,2018-02-27,2017-07-28,2017-02-24,2016-07-28,2016-02-25,2015-07-24
会计准则,国际会计准则,国际会计准则,国际会计准则,国际及香港会计准则,国际及香港会计准则,国际及香港会计准则
审计意见,-,-,-,-,-,-
审核师,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

lirun
,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

起始日期,2016-12-01,2016-12-01,2015-12-01,2015-12-01,2014-12-01,2014-12-01
截止日期,2017-11-30,2017-05-31,2016-11-30,2016-05-31,2015-11-30,2015-05-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1130,1130,1130,1130,1130,1130
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,美元,美元,美元,美元,美元,美元
营业收入计算(元),38330000000.00,18405000000.00,28196000000.00,12860000000.00,23274000000.00,13928000000.00
总保费收入(元),26986000000.00,12530000000.00,21757000000.00,10026000000.00,19781000000.00,9361000000.00
