zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报
股本溢价(元),5681000000.00,5546000000.00,5351000000.00,5219000000.00,-,4936000000.00,4708000000.00,-,4408000000.00,4218000000.00,4170000000.00,-,3938000000.00,3986000000.00
留存收益(元),10957000000.00,9948000000.00,8787000000.00,7760000000.00,-,6506000000.00,6108000000.00,-,4675000000.00,4484000000.00,4350000000.00,-,4010000000.00,4037000000.00
累计其他全面收益(元),-23000000.00,-23000000.00,-18000000.00,-14000000.00,-,-14000000.00,-16000000.00,-,4000000.00,1000000.00,-4000000.00,-,1000000.00,8000000.00
归属于母公司股东权益其他项目(元),-,-,-,-,5975000000.00,7000000.00,-,5369000000.00,72000000.00,79000000.00,-,-,-,-
归属于母公司股东权益(元),8795000000.00,7717000000.00,7471000000.00,6352000000.00,5975000000.00,6139000000.00,5762000000.00,5369000000.00,4552000000.00,4275000000.00,4469000000.00,4465000000.00,4185000000.00,4556000000.00
少数股东权益(元),-,-,-,1000000.00,-,-,-,-,-,-,-,-,-,-
股东权益合计(元),8795000000.00,7717000000.00,7471000000.00,6353000000.00,5975000000.00,6139000000.00,5762000000.00,5369000000.00,4552000000.00,4275000000.00,4469000000.00,4465000000.00,4185000000.00,4556000000.00
负债及股东权益合计(元),12882000000.00,11460000000.00,11241000000.00,9830000000.00,9402000000.00,9410000000.00,9810000000.00,9612000000.00,7461000000.00,7108000000.00,7283000000.00,7174000000.00,6979000000.00,7291000000.00
公告日期,2018-08-16,2018-05-22,2018-02-28,2017-11-21,2017-08-10,2017-05-23,2017-03-01,2016-11-22,2016-08-23,2016-05-25,2016-03-17,2015-11-18,2015-08-19,2015-05-20
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-30,2018-01-30,2017-01-29,2017-01-30,2017-01-29,2017-01-30,2016-02-01,2016-02-01,2016-02-01,2016-02-01,2015-01-26,2015-01-26,2015-01-27,2015-01-25
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0127,0127,0128,0128,0129,0128,0129,0131,0131,0131,0131,0125,0126,0126
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),2345000000.00,1244000000.00,3047000000.00,1928000000.00,1091000000.00,507000000.00,1666000000.00,1012000000.00,449000000.00,196000000.00,614000000.00,406000000.00,160000000.00,134000000.00
折旧及摊销(元),116000000.00,57000000.00,202000000.00,148000000.00,98000000.00,49000000.00,212000000.00,160000000.00,106000000.00,53000000.00,226000000.00,173000000.00,117000000.00,61000000.00
基于股票的补偿费(元),262000000.00,129000000.00,391000000.00,265000000.00,158000000.00,76000000.00,247000000.00,176000000.00,85000000.00,44000000.00,194000000.00,140000000.00,87000000.00,39000000.00
递延所得税(元),113000000.00,51000000.00,-359000000.00,158000000.00,115000000.00,22000000.00,197000000.00,146000000.00,74000000.00,33000000.00,-,107000000.00,65000000.00,28000000.00
资产处置损益(元),-,-,-1000000.00,-,-,-,18000000.00,-2000000.00,-3000000.00,-3000000.00,-6000000.00,-7000000.00,-3000000.00,-3000000.00
重估盈余(元),-,-,-,-,-,-,-,-,-,-,45000000.00,-,-,-
经营业务调整其他项目(元),-22000000.00,-8000000.00,37000000.00,31000000.00,26000000.00,19000000.00,11000000.00,23000000.00,7000000.00,4000000.00,19000000.00,53000000.00,43000000.00,7000000.00
存货的减少(增加)(元),-295000000.00,-2000000.00,-,-61000000.00,-61000000.00,-27000000.00,-375000000.00,-261000000.00,-104000000.00,23000000.00,66000000.00,59000000.00,42000000.00,45000000.00
预付款项及其他应收款减少(增加)(元),-,-,-,-26000000.00,-15000000.00,-2000000.00,-,-,-,-,-,-,-,-
待摊费用及其他资产(元),-44000000.00,-38000000.00,21000000.00,-,-,-,-18000000.00,-28000000.00,-17000000.00,-18000000.00,-16000000.00,-25000000.00,-13000000.00,-17000000.00
应收账款及票据减少(增加)(元),-386000000.00,56000000.00,-440000000.00,-342000000.00,-387000000.00,-150000000.00,-321000000.00,-328000000.00,-138000000.00,-17000000.00,-32000000.00,-63000000.00,-41000000.00,18000000.00
应付账款及票据增加(减少)(元),172000000.00,22000000.00,90000000.00,27000000.00,-63000000.00,-133000000.00,184000000.00,218000000.00,131000000.00,32000000.00,-11000000.00,7000000.00,-13000000.00,-67000000.00
应付税项(元),-,-,-,-,-,-,-,-,-,-,134000000.00,-,-,-
应计费用及其他负债(元),97000000.00,-66000000.00,514000000.00,16000000.00,25000000.00,-79000000.00,-149000000.00,-165000000.00,-97000000.00,-38000000.00,-58000000.00,-186000000.00,-35000000.00,1000000.00
经营活动产生的现金流量净额(元),2358000000.00,1445000000.00,3502000000.00,2144000000.00,987000000.00,282000000.00,1672000000.00,951000000.00,493000000.00,309000000.00,1175000000.00,664000000.00,409000000.00,246000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-247000000.00,-118000000.00,-593000000.00,-177000000.00,-108000000.00,-54000000.00,-176000000.00,-125000000.00,-87000000.00,-55000000.00,-86000000.00,-71000000.00,-54000000.00,-30000000.00
购买无形资产及其他资产支付的现金(元),-7136000000.00,-3705000000.00,-36000000.00,-36000000.00,-36000000.00,-36000000.00,-3134000000.00,-2249000000.00,-1415000000.00,-469000000.00,-3477000000.00,-2669000000.00,-1861000000.00,-1267000000.00
处置无形资产及其他资产收到的现金(元),3034000000.00,272000000.00,1943000000.00,1541000000.00,1176000000.00,849000000.00,2522000000.00,1957000000.00,1413000000.00,704000000.00,3145000000.00,2530000000.00,1904000000.00,1063000000.00
投资业务其他项目(元),-7000000.00,-,-36000000.00,-26000000.00,-16000000.00,-5000000.00,-5000000.00,-3000000.00,-4000000.00,-4000000.00,18000000.00,23000000.00,23000000.00,-1000000.00
投资活动产生的现金流量净额(元),-4356000000.00,-3551000000.00,1278000000.00,1302000000.00,1016000000.00,754000000.00,-793000000.00,-420000000.00,-93000000.00,176000000.00,-400000000.00,-187000000.00,12000000.00,-235000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
回购股份(元),-655000000.00,-655000000.00,-909000000.00,-909000000.00,-758000000.00,-,-739000000.00,-509000000.00,-509000000.00,-500000000.00,-587000000.00,-452000000.00,-452000000.00,-53000000.00
发行债券(元),-,-,-,-,-,-,1988000000.00,1988000000.00,-,-,-,-,-,-
赎回债券(元),-2000000.00,-2000000.00,-812000000.00,-803000000.00,-741000000.00,-605000000.00,-673000000.00,-444000000.00,-,-,-,-,-,-
股息支付(元),-182000000.00,-91000000.00,-341000000.00,-250000000.00,-166000000.00,-82000000.00,-261000000.00,-185000000.00,-124000000.00,-62000000.00,-213000000.00,-152000000.00,-99000000.00,-46000000.00
行使股票期权所得(元),-,-,-,-,-,-,-,-,66000000.00,29000000.00,120000000.00,104000000.00,70000000.00,56000000.00
发行费用相关(元),-,-,-,-,-,-,-8000000.00,-4000000.00,-,-,-,-,-,-
超额税收优惠(元),-,-,-,-,-,-,-,-,-,-,10000000.00,-,-,-
其他筹资活动产生的现金流量净额(元),-1000000.00,-,-9000000.00,-3000000.00,-2000000.00,-1000000.00,-7000000.00,-1000000.00,-1000000.00,-,-3000000.00,-,-,-
筹资业务其他项目(元),-446000000.00,-383000000.00,-473000000.00,-445000000.00,-114000000.00,-125000000.00,-9000000.00,-32000000.00,-2000000.00,-1000000.00,-3000000.00,-3000000.00,-2000000.00,-1000000.00
融资活动产生的现金流量净额(元),-1286000000.00,-1131000000.00,-2544000000.00,-2410000000.00,-1781000000.00,-813000000.00,291000000.00,813000000.00,-570000000.00,-534000000.00,-676000000.00,-503000000.00,-483000000.00,-44000000.00
现金及现金等价物期初余额(元),4002000000.00,4002000000.00,1766000000.00,1766000000.00,1766000000.00,1766000000.00,596000000.00,596000000.00,596000000.00,596000000.00,497000000.00,497000000.00,497000000.00,497000000.00
现金及现金等价物增加(减少)额(元),-3284000000.00,-3237000000.00,2236000000.00,1036000000.00,222000000.00,223000000.00,1170000000.00,1344000000.00,-170000000.00,-49000000.00,99000000.00,-26000000.00,-62000000.00,-33000000.00
现金及现金等价物期末余额(元),718000000.00,765000000.00,4002000000.00,2802000000.00,1988000000.00,1989000000.00,1766000000.00,1940000000.00,426000000.00,547000000.00,596000000.00,471000000.00,435000000.00,464000000.00
利息支付(元),-,-,55000000.00,-,-,-,13000000.00,-,-,-,17000000.00,-,-,-
所得税支付(元),-,-,22000000.00,-,-,-,14000000.00,-,-,-,14000000.00,-,-,-
非现金活动(元),52000000.00,43000000.00,36000000.00,20000000.00,32000000.00,14000000.00,16000000.00,25000000.00,15000000.00,11000000.00,19000000.00,-,2000000.00,4000000.00
公告日期,2018-08-16,2018-05-22,2018-02-28,2017-11-21,2017-08-23,2017-05-23,2017-03-01,2016-11-22,2016-08-23,2016-05-25,2016-03-17,2015-11-18,2015-08-19,2015-05-20
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-30,2018-01-30,2017-01-29,2017-01-30,2017-01-29,2017-01-30,2016-02-01,2016-02-01,2016-02-01,2016-02-01,2015-01-26,2015-01-26,2015-01-27,2015-01-27
截止日期,2018-07-29,2018-04-29,2018-01-28,2017-10-29,2017-07-30,2017-04-30,2017-01-29,2016-10-30,2016-07-31,2016-05-01,2016-01-31,2015-10-25,2015-07-26,2015-04-26
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0127,0127,0128,0128,0129,0128,0129,0131,0131,0131,0131,0125,0126,0126
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),6330000000.00,3207000000.00,9714000000.00,6803000000.00,4167000000.00,1937000000.00,6910000000.00,4737000000.00,2733000000.00,1305000000.00,5010000000.00,3609000000.00,2304000000.00,1151000000.00
营业成本(元),2287000000.00,1139000000.00,3892000000.00,2782000000.00,1715000000.00,787000000.00,2847000000.00,1977000000.00,1156000000.00,554000000.00,2199000000.00,1589000000.00,1018000000.00,498000000.00
毛利(元),4043000000.00,2068000000.00,5822000000.00,4021000000.00,2452000000.00,1150000000.00,4063000000.00,2760000000.00,1577000000.00,751000000.00,2811000000.00,2020000000.00,1286000000.00,653000000.00
减：研发费用(元),1124000000.00,542000000.00,1797000000.00,1290000000.00,827000000.00,411000000.00,1463000000.00,1069000000.00,697000000.00,346000000.00,1331000000.00,987000000.00,658000000.00,339000000.00
减：营销费用(元),467000000.00,231000000.00,815000000.00,594000000.00,383000000.00,185000000.00,663000000.00,487000000.00,316000000.00,159000000.00,602000000.00,441000000.00,289000000.00,138000000.00
减：其他营业费用(元),-,-,-,-,-,-,3000000.00,3000000.00,3000000.00,1000000.00,131000000.00,97000000.00,89000000.00,-
营业利润(元),2452000000.00,1295000000.00,3210000000.00,2137000000.00,1242000000.00,554000000.00,1934000000.00,1201000000.00,561000000.00,245000000.00,747000000.00,495000000.00,250000000.00,176000000.00
加：利息收入(元),57000000.00,25000000.00,69000000.00,48000000.00,31000000.00,16000000.00,54000000.00,37000000.00,23000000.00,12000000.00,39000000.00,28000000.00,18000000.00,9000000.00
加：利息支出(元),-29000000.00,-15000000.00,-61000000.00,-46000000.00,-31000000.00,-16000000.00,-58000000.00,-39000000.00,-23000000.00,-12000000.00,-47000000.00,-35000000.00,-22000000.00,-12000000.00
加：其他收入(支出)(元),11000000.00,6000000.00,-22000000.00,-22000000.00,-21000000.00,-18000000.00,-25000000.00,-19000000.00,-3000000.00,-4000000.00,4000000.00,1000000.00,-2000000.00,-1000000.00
持续经营税前利润(元),2491000000.00,1311000000.00,3196000000.00,2117000000.00,1221000000.00,536000000.00,1905000000.00,1180000000.00,558000000.00,241000000.00,743000000.00,489000000.00,244000000.00,172000000.00
减：所得税(元),146000000.00,67000000.00,149000000.00,189000000.00,130000000.00,29000000.00,239000000.00,168000000.00,109000000.00,45000000.00,129000000.00,83000000.00,84000000.00,38000000.00
持续经营净利润(元),2345000000.00,1244000000.00,3047000000.00,1928000000.00,1091000000.00,507000000.00,1666000000.00,1012000000.00,449000000.00,196000000.00,614000000.00,406000000.00,160000000.00,134000000.00
净利润(元),2345000000.00,1244000000.00,3047000000.00,1928000000.00,1091000000.00,507000000.00,1666000000.00,1012000000.00,449000000.00,196000000.00,614000000.00,406000000.00,160000000.00,134000000.00
归属于母公司股东净利润(元),2345000000.00,1244000000.00,3047000000.00,1928000000.00,1091000000.00,507000000.00,1666000000.00,1012000000.00,449000000.00,196000000.00,614000000.00,406000000.00,160000000.00,134000000.00
归属于普通股股东净利润(元),2345000000.00,1244000000.00,3047000000.00,1928000000.00,1091000000.00,507000000.00,1666000000.00,1012000000.00,449000000.00,196000000.00,614000000.00,406000000.00,160000000.00,134000000.00
每股股息－普通股(元),0.30,0.15,0.57,0.42,-,0.14,0.49,-,0.23,0.12,0.40,-,0.18,0.09
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),3.86,2.05,5.09,3.23,1.83,0.86,3.08,1.89,0.84,0.36,1.13,0.75,0.29,0.24
摊薄每股收益－普通股(元),3.74,1.98,4.82,3.05,1.71,0.79,2.57,1.59,0.73,0.33,1.08,0.72,0.28,0.24
其他全面收益(元),-5000000.00,5000000.00,-2000000.00,3000000.00,-,3000000.00,-12000000.00,-,7000000.00,5000000.00,-12000000.00,-,-6000000.00,1000000.00
全面收益总额(元),2340000000.00,1249000000.00,3045000000.00,1931000000.00,-,510000000.00,1654000000.00,-,456000000.00,201000000.00,602000000.00,-,154000000.00,135000000.00
公告日期,2018-08-16,2018-05-22,2018-02-28,2017-11-21,2017-08-10,2017-05-23,2017-03-01,2016-11-22,2016-08-23,2016-05-25,2016-03-17,2015-11-18,2015-08-19,2015-05-20
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

